CaseMasterID,TruePersonID,MOFamily,DistrictID,UnitID,CrimeRegisteredDate,CulpritAppearances
4730,P000663,highway_dacoity,11,139,2022-01-17,3
4731,P001584,cattle_theft,4,49,2024-07-16,7
4732,P001918,highway_dacoity,21,268,2023-04-24,4
4733,P003375,hurt_affray,27,337,2024-09-18,7
4734,P000371,ndps_ganja,22,282,2023-08-15,4
4735,P002162,two_wheeler_theft,5,68,2025-06-05,3
4736,P001803,hurt_affray,26,333,2025-12-14,4
4737,P001867,card_skimming,17,224,2026-02-05,3
4738,P002265,chain_snatching,4,49,2024-05-03,4
4739,P000068,highway_dacoity,24,311,2025-10-16,3
4740,P001640,two_wheeler_theft,26,330,2024-11-21,3
4741,P002757,two_wheeler_theft,11,142,2024-07-27,18
4742,P003026,mobile_snatching,10,119,2022-05-22,3
4743,P003026,mobile_snatching,10,119,2022-09-12,3
4744,P001655,shop_burglary,29,377,2024-03-30,3
4745,P002602,highway_dacoity,7,89,2024-07-29,5
4746,P002028,shop_burglary,10,120,2026-01-18,3
4747,P001576,mobile_snatching,2,27,2024-08-15,3
4748,P000085,cattle_theft,4,47,2023-11-12,3
4749,P002824,mobile_snatching,12,153,2022-11-03,4
4750,P002439,chain_snatching,11,136,2026-01-15,3
4751,P003107,hurt_affray,9,114,2022-03-31,3
4752,P000074,murder,26,330,2025-10-05,4
4753,P001664,illicit_liquor,14,170,2024-09-30,9
4754,P003192,ndps_ganja,11,140,2024-12-04,16
4755,P003705,card_skimming,5,61,2025-09-30,3
4756,P001170,illicit_liquor,14,172,2026-06-01,4
4757,P002164,ndps_ganja,2,26,2024-05-27,4
4758,P000084,murder,1,12,2024-08-30,4
4759,P000095,card_skimming,10,130,2026-01-23,5
4760,P000011,illicit_liquor,18,229,2023-07-18,4
4761,P003495,highway_dacoity,20,259,2026-04-25,8
4762,P000191,mobile_snatching,4,49,2026-01-01,5
4763,P003375,hurt_affray,27,337,2026-04-10,7
4764,P001637,shop_burglary,8,99,2025-04-26,3
4765,P000578,sand_smuggling,4,49,2025-11-02,4
4766,P002164,ndps_ganja,2,26,2024-12-10,4
4767,P003835,chain_snatching,8,97,2022-05-26,5
4768,P002265,chain_snatching,4,49,2024-05-12,4
4769,P003080,sand_smuggling,16,209,2024-06-22,4
4770,P003248,card_skimming,12,152,2023-12-05,4
4771,P002315,two_wheeler_theft,11,134,2024-12-14,4
4772,P000239,sand_smuggling,4,46,2026-03-06,7
4773,P002496,cattle_theft,28,350,2023-09-16,3
4774,P001056,ndps_ganja,4,53,2026-04-08,4
4775,P002781,chit_fund_cheating,4,49,2022-07-06,4
4776,P001634,cattle_theft,22,286,2026-04-23,3
4777,P000875,house_break_night,4,53,2025-06-15,4
4778,P002914,card_skimming,13,159,2025-06-16,6
4779,P002260,chain_snatching,18,235,2023-11-15,4
4780,P002640,chit_fund_cheating,22,293,2024-06-06,8
4781,P000293,chain_snatching,12,155,2024-05-22,7
4782,P003573,illicit_liquor,13,164,2026-02-03,12
4783,P001796,sand_smuggling,6,79,2025-12-22,4
4784,P002322,card_skimming,4,49,2023-06-02,6
4785,P001227,hurt_affray,3,36,2021-12-16,5
4786,P000925,two_wheeler_theft,17,218,2024-06-29,3
4787,P002402,house_break_night,4,51,2023-06-27,6
4788,P002889,ndps_ganja,10,121,2023-01-16,4
4789,P002498,two_wheeler_theft,31,399,2025-07-08,3
4790,P003336,murder,2,33,2023-10-30,5
4791,P000707,highway_dacoity,1,15,2025-04-13,3
4792,P003002,shop_burglary,9,112,2026-01-25,3
4793,P003146,cattle_theft,22,281,2023-11-08,3
4794,P003448,house_break_night,21,274,2025-10-03,7
4795,P001795,chain_snatching,16,209,2025-04-21,8
4796,P003732,ndps_ganja,22,291,2023-09-24,3
4797,P000098,chain_snatching,4,52,2022-11-14,7
4798,P000380,highway_dacoity,11,142,2025-01-13,10
4799,P000276,chain_snatching,17,214,2024-09-12,3
4800,P003571,two_wheeler_theft,25,322,2026-06-03,3
4801,P001464,mobile_snatching,26,328,2023-07-20,5
4802,P003573,illicit_liquor,4,46,2026-05-22,12
4803,P002048,highway_dacoity,17,218,2022-03-20,8
4804,P001230,sand_smuggling,24,308,2026-06-25,4
4805,P001786,hurt_affray,4,51,2024-06-11,3
4806,P003210,cattle_theft,31,401,2022-11-24,4
4807,P003851,ndps_ganja,11,139,2025-10-14,3
4808,P000168,shop_burglary,4,49,2023-07-05,3
4809,P002973,sand_smuggling,15,186,2023-05-26,4
4810,P003307,chit_fund_cheating,4,48,2023-07-12,4
4811,P002086,cattle_theft,3,36,2023-03-30,5
4812,P002301,card_skimming,9,108,2026-01-20,3
4813,P002388,chain_snatching,17,215,2021-02-21,4
4814,P001336,mobile_snatching,4,48,2025-04-12,4
4815,P001664,illicit_liquor,14,170,2023-10-08,9
4816,P001108,card_skimming,30,386,2023-12-09,4
4817,P002285,sand_smuggling,4,53,2024-04-15,3
4818,P003845,cattle_theft,22,292,2022-03-19,10
4819,P000499,illicit_liquor,26,334,2026-04-15,4
4820,P002975,sand_smuggling,24,313,2022-01-30,4
4821,P000661,highway_dacoity,4,49,2026-02-26,7
4822,P002760,cattle_theft,13,158,2024-07-27,12
4823,P001093,ndps_ganja,3,36,2025-07-05,6
4824,P002721,card_skimming,3,41,2022-02-02,4
4825,P002036,mobile_snatching,16,208,2023-05-31,3
4826,P002685,highway_dacoity,10,124,2022-11-15,3
4827,P000833,house_break_night,4,47,2023-07-02,4
4828,P003618,cattle_theft,15,181,2024-11-23,5
4829,P003041,chit_fund_cheating,23,302,2022-02-24,3
4830,P001704,chain_snatching,4,46,2026-03-23,5
4831,P002434,ndps_ganja,4,46,2021-09-12,3
4832,P003715,chit_fund_cheating,23,303,2022-06-10,6
4833,P000868,shop_burglary,19,238,2024-07-16,4
4834,P000204,sand_smuggling,13,158,2025-11-02,12
4835,P001587,sand_smuggling,10,129,2021-12-14,4
4836,P002357,illicit_liquor,13,158,2026-03-03,17
4837,P001549,shop_burglary,23,303,2021-12-09,5
4838,P001897,card_skimming,18,229,2026-01-31,3
4839,P003574,ndps_ganja,4,49,2024-10-01,5
4840,P000284,illicit_liquor,18,233,2022-05-04,10
4841,P002404,mobile_snatching,9,113,2025-08-08,3
4842,P003097,murder,4,47,2025-10-15,3
4843,P002744,chit_fund_cheating,10,123,2024-07-06,7
4844,P002934,murder,29,370,2022-03-28,3
4845,P000335,card_skimming,11,143,2025-03-30,4
4846,P001411,ndps_ganja,21,270,2023-10-07,9
4847,P002629,cattle_theft,25,321,2025-05-03,16
4848,P000471,house_break_night,23,296,2023-05-05,3
4849,P001000,house_break_night,19,238,2023-12-21,3
4850,P001587,sand_smuggling,16,203,2021-11-21,4
4851,P001147,ndps_ganja,2,30,2023-09-17,3
4852,P000718,mobile_snatching,25,322,2025-09-15,3
4853,P002153,chit_fund_cheating,13,158,2026-04-15,5
4854,P001911,cattle_theft,4,46,2024-01-05,3
4855,P002471,ndps_ganja,1,17,2024-02-05,3
4856,P002420,murder,31,404,2024-02-20,3
4857,P003239,card_skimming,14,172,2026-05-25,4
4858,P003012,chain_snatching,16,196,2024-01-10,3
4859,P002715,illicit_liquor,21,269,2023-01-20,5
4860,P002973,sand_smuggling,15,186,2023-05-07,4
4861,P001170,illicit_liquor,14,172,2025-09-29,4
4862,P002647,sand_smuggling,5,61,2026-02-08,3
4863,P002829,illicit_liquor,31,401,2025-11-07,11
4864,P003718,chit_fund_cheating,3,36,2024-03-09,6
4865,P000074,sand_smuggling,4,46,2025-10-13,4
4866,P001187,chain_snatching,10,124,2023-10-18,3
4867,P000283,highway_dacoity,19,244,2022-02-04,3
4868,P003830,house_break_night,4,46,2024-12-13,14
4869,P000418,house_break_night,7,88,2025-02-11,3
4870,P002913,highway_dacoity,26,332,2021-09-24,4
4871,P001867,card_skimming,17,224,2026-06-25,3
4872,P001219,card_skimming,23,298,2023-09-19,4
4873,P001399,shop_burglary,4,49,2024-12-23,9
4874,P000387,chain_snatching,28,354,2026-03-20,3
4875,P003369,card_skimming,4,53,2022-05-09,11
4876,P001464,mobile_snatching,26,328,2023-03-27,5
4877,P003555,card_skimming,14,169,2022-03-28,7
4878,P001410,illicit_liquor,20,262,2024-08-07,4
4879,P003791,hurt_affray,27,337,2021-07-03,3
4880,P002616,sand_smuggling,14,177,2024-05-09,4
4881,P000741,shop_burglary,20,254,2025-12-13,7
4882,P000120,highway_dacoity,23,301,2025-03-17,3
4883,P003493,sand_smuggling,13,162,2024-07-26,4
4884,P002099,chain_snatching,31,401,2023-11-22,4
4885,P001133,chain_snatching,19,247,2025-06-02,3
4886,P003183,hurt_affray,23,303,2025-01-15,8
4887,P000721,ndps_ganja,6,78,2024-05-01,3
4888,P001230,sand_smuggling,24,308,2026-03-16,4
4889,P001769,highway_dacoity,5,61,2023-03-20,4
4890,P001373,hurt_affray,4,46,2025-04-27,4
4891,P002889,ndps_ganja,5,67,2024-01-21,4
4892,P003122,house_break_night,24,311,2024-08-08,4
4893,P001664,illicit_liquor,14,170,2023-07-12,9
4894,P002403,hurt_affray,11,137,2024-11-15,3
4895,P002404,mobile_snatching,9,113,2022-11-22,3
4896,P002864,chit_fund_cheating,22,285,2026-04-06,4
4897,P002917,hurt_affray,4,53,2024-10-11,3
4898,P001803,hurt_affray,26,333,2026-01-04,4
4899,P001069,highway_dacoity,13,165,2023-05-12,3
4900,P002176,chain_snatching,3,36,2024-02-15,4
4901,P001688,highway_dacoity,22,291,2025-01-04,3
4902,P001813,hurt_affray,11,141,2022-08-07,4
4903,P003012,chain_snatching,16,196,2024-12-02,3
4904,P002696,murder,3,43,2024-05-14,6
4905,P001475,murder,7,88,2024-10-31,3
4906,P001271,chain_snatching,13,164,2025-01-29,6
4907,P001783,chit_fund_cheating,29,378,2026-01-09,3
4908,P000426,two_wheeler_theft,17,218,2022-09-15,5
4909,P001405,ndps_ganja,19,248,2026-06-14,6
4910,P001742,mobile_snatching,4,52,2025-02-14,4
4911,P001275,sand_smuggling,17,220,2025-01-06,3
4912,P003513,murder,18,227,2024-02-22,3
4913,P003026,mobile_snatching,10,119,2022-01-21,3
4914,P000473,two_wheeler_theft,22,293,2025-12-26,3
4915,P001260,chain_snatching,2,30,2023-04-02,4
4916,P002446,sand_smuggling,5,60,2024-11-01,3
4917,P003643,chit_fund_cheating,6,80,2025-12-05,3
4918,P000235,hurt_affray,27,340,2023-09-10,3
4919,P002531,cattle_theft,10,129,2022-12-06,4
4920,P003213,hurt_affray,23,302,2023-10-20,3
4921,P002501,sand_smuggling,13,166,2025-02-23,4
4922,P002864,chit_fund_cheating,22,285,2025-04-11,4
4923,P001850,chit_fund_cheating,5,69,2024-10-04,5
4924,P000680,two_wheeler_theft,19,238,2023-09-28,4
4925,P001562,illicit_liquor,20,258,2024-03-27,4
4926,P003457,cattle_theft,17,222,2023-12-04,7
4927,P000709,house_break_night,15,184,2026-01-16,5
4928,P003322,hurt_affray,22,281,2022-04-14,4
4929,P000380,highway_dacoity,11,142,2025-06-04,10
4930,P000857,ndps_ganja,9,105,2024-01-26,3
4931,P001649,chain_snatching,15,184,2026-02-10,7
4932,P000916,shop_burglary,26,330,2026-06-02,12
4933,P002696,murder,3,43,2024-07-05,6
4934,P003747,card_skimming,4,49,2024-09-20,8
4935,P003183,hurt_affray,4,49,2025-08-22,8
4936,P003388,illicit_liquor,28,358,2024-10-29,5
4937,P002712,house_break_night,4,49,2025-09-26,3
4938,P003789,chit_fund_cheating,4,52,2025-02-26,4
4939,P003439,two_wheeler_theft,31,404,2021-12-11,3
4940,P002085,sand_smuggling,13,166,2025-10-21,3
4941,P000077,card_skimming,16,200,2022-12-11,3
4942,P001305,hurt_affray,4,49,2023-11-08,4
4943,P000658,sand_smuggling,11,135,2023-02-12,6
4944,P002975,chit_fund_cheating,14,169,2022-05-02,4
4945,P001690,murder,13,162,2025-11-03,11
4946,P003523,card_skimming,3,41,2026-06-06,5
4947,P002606,two_wheeler_theft,6,79,2024-12-25,3
4948,P000974,mobile_snatching,28,353,2023-02-24,3
4949,P002807,two_wheeler_theft,4,51,2025-06-05,10
4950,P003248,card_skimming,12,152,2023-04-29,4
4951,P002715,illicit_liquor,21,269,2021-12-13,5
4952,P002464,chain_snatching,31,398,2025-06-20,3
4953,P003110,two_wheeler_theft,3,36,2025-12-05,6
4954,P001388,card_skimming,1,14,2026-06-11,7
4955,P003076,murder,5,56,2024-03-08,3
4956,P000229,hurt_affray,21,277,2026-03-14,4
4957,P002696,murder,3,43,2024-03-09,6
4958,P001549,shop_burglary,23,303,2021-12-19,5
4959,P003644,house_break_night,4,48,2023-11-28,6
4960,P002420,murder,4,47,2022-11-25,3
4961,P002385,shop_burglary,13,159,2025-11-22,4
4962,P003541,chain_snatching,4,47,2026-01-14,3
4963,P001143,illicit_liquor,9,112,2025-02-23,3
4964,P003756,chit_fund_cheating,2,27,2025-08-28,4
4965,P000923,chain_snatching,25,321,2024-08-07,3
4966,P000160,ndps_ganja,4,46,2024-05-25,3
4967,P001113,house_break_night,12,153,2024-06-14,3
4968,P000667,highway_dacoity,14,170,2024-03-26,4
4969,P002033,mobile_snatching,7,83,2026-03-29,5
4970,P003007,murder,3,41,2025-07-20,3
4971,P001112,mobile_snatching,7,89,2026-06-03,4
4972,P000191,mobile_snatching,4,49,2025-12-29,5
4973,P001786,hurt_affray,4,51,2023-05-25,3
4974,P001576,mobile_snatching,2,27,2024-10-16,3
4975,P001685,hurt_affray,18,231,2021-10-09,8
4976,P000124,two_wheeler_theft,26,332,2025-07-26,3
4977,P003597,illicit_liquor,10,123,2024-08-03,11
4978,P001697,shop_burglary,4,51,2022-10-12,3
4979,P000236,shop_burglary,19,245,2026-01-15,4
4980,P001769,highway_dacoity,5,61,2023-05-23,4
4981,P002446,sand_smuggling,15,191,2023-07-16,3
4982,P000746,illicit_liquor,4,53,2022-10-04,4
4983,P000163,highway_dacoity,2,32,2025-08-11,4
4984,P002018,cattle_theft,15,192,2025-10-20,18
4985,P002301,card_skimming,4,53,2025-11-29,3
4986,P002820,shop_burglary,4,47,2024-05-31,5
4987,P001299,sand_smuggling,17,213,2024-07-11,4
4988,P000728,shop_burglary,20,263,2023-06-05,4
4989,P000163,highway_dacoity,14,171,2025-11-01,4
4990,P003462,highway_dacoity,20,264,2024-03-13,4
4991,P001194,shop_burglary,23,298,2023-06-18,3
4992,P001766,chit_fund_cheating,13,162,2025-04-03,3
4993,P001576,mobile_snatching,2,27,2024-02-02,3
4994,P003107,chit_fund_cheating,9,114,2025-04-28,3
4995,P002003,mobile_snatching,27,339,2026-03-06,7
4996,P002277,murder,24,308,2023-05-03,3
4997,P001696,illicit_liquor,3,43,2024-05-13,9
4998,P000397,shop_burglary,3,37,2024-09-09,3
4999,P001265,chain_snatching,4,49,2025-10-08,3
5000,P002146,shop_burglary,14,171,2022-08-08,4
