CaseMasterID,CrimeNo,UnitID,DistrictID,CaseCategoryID,CrimeHeadID,CrimeSubHeadID,GravityOffenceID,CrimeRegisteredDate,CrimeRegisteredTime,OccurrenceFromDate,OccurrenceToDate,Latitude,Longitude,PlaceOfOffence,BriefFacts,IOEmployeeID,CaseStatus,Active
11,100051004202500003,60,5,1,2,9,1,2025-12-12,00:45,2025-12-09,2025-12-12,13.602092,77.536182,"the bus stand, Bengaluru Rural","The complainant was travelling in his car near the college ground at Kote, Bengaluru Rural when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 257,000.",335,Chargesheeted,Y
12,100051004202500004,60,5,1,2,9,1,2025-09-03,00:28,2025-08-31,2025-09-03,13.518974,77.556741,"the vegetable market, Bengaluru Rural","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the temple street at Bazaar, Bengaluru Rural at about 00.15 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 122,000.",339,Chargesheeted,Y
13,100051004202600002,60,5,1,2,9,1,2026-01-27,01:05,2026-01-26,2026-01-27,13.614792,77.60602,"the temple street, Bengaluru Rural","the bus stand at Shivaji Nagar, Bengaluru Rural ಬಳಿ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಐದಾರು ಜನರ ಗುಂಪು ಮಾರಕಾಯುಧಗಳೊಂದಿಗೆ ದೂರುದಾರರ ವಾಹನವನ್ನು ತಡೆದು ಬೆದರಿಸಿ ರೂ 188,500 ಮೌಲ್ಯದ ನಗದು ಮತ್ತು ಸರಕನ್ನು ದೋಚಿಕೊಂಡು ಹೋಗಿರುತ್ತಾರೆ.",340,Under Investigation,Y
14,100051004202500005,60,5,1,2,9,1,2025-08-05,03:30,2025-08-05,2025-08-05,13.5432,77.667985,"the temple street, Bengaluru Rural","The complainant was travelling in his car near the main road junction at Extension, Bengaluru Rural when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 133,500.",338,Chargesheeted,Y
15,100301012202600001,394,30,1,2,9,1,2026-01-13,22:48,2026-01-12,2026-01-13,16.794356,77.259985,"the petrol bunk, Yadgir","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the housing board colony at Market, Yadgir at about 15.15 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 239,000.",2447,Closed False,Y
16,100051004202500006,60,5,1,2,9,1,2025-10-13,00:34,2025-10-11,2025-10-13,13.519488,77.571055,"the vegetable market, Bengaluru Rural","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the government hospital at Women, Bengaluru Rural at about 14.00 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 277,500.",339,Chargesheeted,Y
17,100051004202500007,60,5,1,2,9,1,2025-07-08,23:28,2025-07-07,2025-07-08,13.590766,77.650196,"the temple street, Bengaluru Rural","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the railway station at Cantonment, Bengaluru Rural at about 14.00 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 87,000.",335,Chargesheeted,Y
18,100051004202500008,60,5,1,4,12,2,2025-12-05,11:50,2025-12-05,2025-12-05,13.607037,77.674372,"the APMC yard, Bengaluru Rural","The accused, representing himself as the proprietor of a finance establishment at Rural, Bengaluru Rural, collected deposits from the complainant and other members of the public promising monthly returns, and thereafter closed the office and absconded. Total amount cheated Rs 414,000.",339,Chargesheeted,Y
19,300131001202300001,158,13,3,5,14,3,2023-09-15,21:26,2023-09-13,2023-09-15,15.394978,75.166912,"the housing board colony, Dharwad","On credible information a raid was conducted near the college ground at Rural, Dharwad at about 04.45 hours. The accused was found transporting 5 boxes of Indian made liquor without a valid permit in a Honda Activa scooter. Contraband valued at Rs 205,500 was seized.",955,Closed False,Y
20,300131001202400001,158,13,3,5,14,3,2024-02-23,19:59,2024-02-20,2024-02-23,15.289429,75.192169,"the sugar factory road, Dharwad","During patrolling near Camp, Dharwad the accused was found in possession of 3 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA11XV8745 were seized under panchanama.",955,Closed False,Y
21,300131001202400002,158,13,3,5,14,3,2024-04-04,01:48,2024-04-01,2024-04-04,15.388859,75.222437,"the temple street, Dharwad","On credible information a raid was conducted near the APMC yard at Extension, Dharwad at about 01.00 hours. The accused was found transporting 10 boxes of Indian made liquor without a valid permit in a Tata 407 lorry. Contraband valued at Rs 45,500 was seized.",955,Chargesheeted,Y
22,300131001202600001,158,13,3,5,14,3,2026-03-25,20:43,2026-03-22,2026-03-25,15.327216,75.206825,"the vegetable market, Dharwad","During patrolling near the railway station at Industrial Area, Dharwad the accused was found in possession of 12 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA22KX2953 were seized under panchanama.",955,Chargesheeted,Y
23,100131001202300002,158,13,1,4,12,2,2023-10-23,11:17,2023-10-23,2023-10-23,15.35904,75.147906,"the housing board colony, Dharwad","The accused, representing himself as the proprietor of a finance establishment at the vegetable market at Market, Dharwad, collected deposits from the complainant and other members of the public promising monthly returns, and thereafter closed the office and absconded. Total amount cheated Rs 102,000.",955,Chargesheeted,Y
24,300131001202300003,158,13,3,5,14,3,2023-11-19,19:54,2023-11-17,2023-11-19,15.34451,75.213681,"the taluk office, Dharwad","ಖಚಿತ ಮಾಹಿತಿಯ ಮೇರೆಗೆ Market, Dharwad ಬಳಿ ದಾಳಿ ನಡೆಸಲಾಯಿತು. ಆರೋಪಿಯು ಪರವಾನಗಿ ಇಲ್ಲದೆ 3 ಪೆಟ್ಟಿಗೆ ಮದ್ಯವನ್ನು ಸಾಗಿಸುತ್ತಿದ್ದು, ರೂ 304,500 ಮೌಲ್ಯದ ಮಾಲನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ.",955,Chargesheeted,Y
25,300131001202300004,158,13,3,5,14,3,2023-11-26,19:40,2023-11-25,2023-11-26,15.2928,75.190536,"the housing board colony, Dharwad","On credible information a raid was conducted near Ashok Nagar, Dharwad at about 07.15 hours. The accused was found transporting 3 boxes of Indian made liquor without a valid permit in a Ashok Leyland lorry. Contraband valued at Rs 166,000 was seized.",955,Chargesheeted,Y
26,300041004202400001,49,4,3,5,14,3,2024-09-23,23:34,2024-09-21,2024-09-23,13.168897,77.578416,"the temple street, Bengaluru Urban","During patrolling near Rural, Bengaluru Urban the accused was found in possession of 6 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA07CR3263 were seized under panchanama.",275,Chargesheeted,Y
27,300131001202600002,158,13,3,5,14,3,2026-01-13,00:55,2026-01-12,2026-01-13,15.302045,75.194782,"the sugar factory road, Dharwad","During patrolling near the housing board colony at Vinoba Nagar, Dharwad the accused was found in possession of 4 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA57FK4838 were seized under panchanama.",955,Chargesheeted,Y
28,300131001202300005,158,13,3,5,14,3,2023-06-30,23:00,2023-06-30,2023-06-30,15.362913,75.14458,"the petrol bunk, Dharwad","On credible information a raid was conducted near Vinoba Nagar, Dharwad at about 13.45 hours. The accused was found transporting 10 boxes of Indian made liquor without a valid permit in a Yamaha FZ motorcycle. Contraband valued at Rs 440,000 was seized.",955,Chargesheeted,Y
29,300131001202500001,158,13,3,5,14,3,2025-12-15,22:55,2025-12-13,2025-12-15,15.299705,75.195232,"the temple street, Dharwad","On credible information a raid was conducted near Women, Dharwad at about 14.45 hours. The accused was found transporting 10 boxes of Indian made liquor without a valid permit in a Bajaj Pulsar motorcycle. Contraband valued at Rs 204,000 was seized.",955,Under Investigation,Y
30,300131001202400003,158,13,3,5,14,3,2024-09-13,00:44,2024-09-10,2024-09-13,15.355516,75.136692,"the government hospital, Dharwad","On credible information a raid was conducted near Industrial Area, Dharwad at about 21.30 hours. The accused was found transporting 11 boxes of Indian made liquor without a valid permit in a Maruti Omni van. Contraband valued at Rs 360,500 was seized.",955,Closed False,Y
31,300151002202400001,181,15,3,5,14,3,2024-07-28,23:25,2024-07-26,2024-07-28,12.854086,76.051064,"the sugar factory road, Hassan","On credible information a raid was conducted near Rural, Hassan at about 04.45 hours. The accused was found transporting 4 boxes of Indian made liquor without a valid permit in a Yamaha FZ motorcycle. Contraband valued at Rs 30,500 was seized.",1090,Chargesheeted,Y
32,300131001202400004,158,13,3,5,14,3,2024-10-04,19:17,2024-10-04,2024-10-04,15.399248,75.155145,"the temple street, Dharwad","During patrolling near Shivaji Nagar, Dharwad the accused was found in possession of 4 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA51CT1858 were seized under panchanama.",955,Chargesheeted,Y
33,300131001202600003,158,13,3,5,14,3,2026-06-29,21:35,2026-06-28,2026-06-29,15.366645,75.116797,"the petrol bunk, Dharwad","On credible information a raid was conducted near Vidya Nagar, Dharwad at about 16.45 hours. The accused was found transporting 4 boxes of Indian made liquor without a valid permit in a Tata Ace goods vehicle. Contraband valued at Rs 63,500 was seized.",955,Chargesheeted,Y
34,300071004202500001,87,7,3,5,14,3,2025-03-29,00:23,2025-03-29,2025-03-29,12.163127,76.829124,"the taluk office, Chamarajanagar","During patrolling near Gandhi Nagar, Chamarajanagar the accused was found in possession of 7 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA31PE8823 were seized under panchanama.",514,Chargesheeted,Y
35,300131001202600004,158,13,3,5,14,3,2026-01-15,01:38,2026-01-15,2026-01-15,15.253616,75.112437,"the petrol bunk, Dharwad","ಖಚಿತ ಮಾಹಿತಿಯ ಮೇರೆಗೆ Vinoba Nagar, Dharwad ಬಳಿ ದಾಳಿ ನಡೆಸಲಾಯಿತು. ಆರೋಪಿಯು ಪರವಾನಗಿ ಇಲ್ಲದೆ 10 ಪೆಟ್ಟಿಗೆ ಮದ್ಯವನ್ನು ಸಾಗಿಸುತ್ತಿದ್ದು, ರೂ 277,500 ಮೌಲ್ಯದ ಮಾಲನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ.",955,Chargesheeted,Y
36,100041005202500001,51,4,1,2,9,1,2025-12-21,03:19,2025-12-20,2025-12-21,13.039675,77.815669,"the main road junction, Bengaluru Urban","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near Market, Bengaluru Urban at about 05.15 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 28,000.",287,Chargesheeted,Y
37,300051007202600001,63,5,3,5,15,2,2026-06-22,11:37,2026-06-22,2026-06-22,12.975566,77.657325,"the government hospital, Bengaluru Rural","During vehicle checking near Ring Road, Bengaluru Rural the accused travelling in a Royal Enfield motorcycle bearing number KA53TQ2040 was found transporting 16 kilograms of ganja. The substance tested positive on field kit and was seized.",362,Under Investigation,Y
38,300051007202500001,63,5,3,5,15,2,2025-02-08,14:54,2025-02-06,2025-02-08,12.919675,77.709877,"the temple street, Bengaluru Rural","Acting on information the staff conducted a check near the taluk office at Women, Bengaluru Rural. The accused was found in possession of 8 kilograms of dried ganja concealed in a gunny bag, for which he could produce no authorisation. Contraband seized in the presence of panchas.",364,Chargesheeted,Y
39,100061008202600001,80,6,1,1,3,4,2026-03-23,20:53,2026-03-23,2026-03-23,17.763898,77.714073,"the government hospital, Bidar","There was a quarrel between the complainant and the accused over an old money transaction near Industrial Area, Bidar. The accused abused the complainant in filthy language, restrained him and assaulted him with a wooden club causing bleeding injury on the head.",483,Chargesheeted,Y
40,100041005202500002,51,4,1,2,9,1,2025-11-17,02:49,2025-11-14,2025-11-17,13.032948,77.927342,"the taluk office, Bengaluru Urban","Ring Road, Bengaluru Urban ಬಳಿ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಐದಾರು ಜನರ ಗುಂಪು ಮಾರಕಾಯುಧಗಳೊಂದಿಗೆ ದೂರುದಾರರ ವಾಹನವನ್ನು ತಡೆದು ಬೆದರಿಸಿ ರೂ 444,500 ಮೌಲ್ಯದ ನಗದು ಮತ್ತು ಸರಕನ್ನು ದೋಚಿಕೊಂಡು ಹೋಗಿರುತ್ತಾರೆ.",282,Chargesheeted,Y
41,100061008202500001,80,6,1,1,3,4,2025-07-23,17:30,2025-07-23,2025-07-23,17.853765,77.725885,"the APMC yard, Bidar","On 21.45 hours near Jayanagar, Bidar the accused picked up a quarrel with the complainant regarding a boundary of agricultural land, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",483,Chargesheeted,Y
42,100061008202500002,80,6,1,1,3,4,2025-06-28,21:26,2025-06-27,2025-06-28,17.850927,77.72135,"the government hospital, Bidar","There was a quarrel between the complainant and the accused over a wage payment near the college ground at Ashok Nagar, Bidar. The accused abused the complainant in filthy language, restrained him and assaulted him with a wooden club causing bleeding injury on the head.",479,Under Investigation,Y
43,100061008202500003,80,6,1,1,3,4,2025-08-18,20:53,2025-08-17,2025-08-18,17.861059,77.753961,"the housing board colony, Bidar","On 21.30 hours near the temple street at Bazaar, Bidar the accused picked up a quarrel with the complainant regarding a wage payment, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",483,Chargesheeted,Y
44,100041005202500003,51,4,1,2,9,1,2025-08-04,00:26,2025-08-04,2025-08-04,13.017495,77.942621,"the college ground, Bengaluru Urban","The complainant was travelling in his car near Camp, Bengaluru Urban when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 430,000.",283,Closed NC,Y
45,300071007202400001,90,7,3,5,14,3,2024-10-29,22:38,2024-10-29,2024-10-29,12.268575,77.256579,"the APMC yard, Chamarajanagar","On credible information a raid was conducted near Market, Chamarajanagar at about 23.30 hours. The accused was found transporting 10 boxes of Indian made liquor without a valid permit in a Maruti Omni van. Contraband valued at Rs 307,000 was seized.",544,Chargesheeted,Y
46,300071007202400002,90,7,3,5,14,3,2024-03-30,19:50,2024-03-27,2024-03-30,12.281827,77.243469,"the bus stand, Chamarajanagar","On credible information a raid was conducted near Women, Chamarajanagar at about 01.30 hours. The accused was found transporting 8 boxes of Indian made liquor without a valid permit in a Honda Activa scooter. Contraband valued at Rs 73,000 was seized.",544,Chargesheeted,Y
47,100071007202400003,90,7,1,2,6,2,2024-03-30,00:26,2024-03-30,2024-03-30,12.3175,77.335136,"the main road junction, Chamarajanagar","The complainant closed his provision store at the college ground at Camp, Chamarajanagar at 23.45 hours. In the early morning it was found that the rolling shutter had been prised open with a crowbar and stock and cash totalling Rs 155,000 was missing.",544,Closed False,Y
48,300071007202400004,90,7,3,5,14,3,2024-08-15,19:31,2024-08-14,2024-08-15,12.285747,77.223988,"the housing board colony, Chamarajanagar","ಖಚಿತ ಮಾಹಿತಿಯ ಮೇರೆಗೆ the taluk office at Vidya Nagar, Chamarajanagar ಬಳಿ ದಾಳಿ ನಡೆಸಲಾಯಿತು. ಆರೋಪಿಯು ಪರವಾನಗಿ ಇಲ್ಲದೆ 4 ಪೆಟ್ಟಿಗೆ ಮದ್ಯವನ್ನು ಸಾಗಿಸುತ್ತಿದ್ದು, ರೂ 312,500 ಮೌಲ್ಯದ ಮಾಲನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ.",539,Chargesheeted,Y
49,100061007202600001,79,6,1,2,5,3,2026-03-10,01:08,2026-03-10,2026-03-10,18.008815,77.621464,"the housing board colony, Bidar","During night hours unknown persons committed theft of a Mahindra Bolero pickup bearing number KA01GU2247 parked in the open compound of the APMC yard at Shivaji Nagar, Bidar. Accused appears to have used a duplicate key. Property value Rs 322,000.",471,Chargesheeted,Y
50,300061007202500001,79,6,3,5,14,3,2025-02-04,22:33,2025-02-02,2025-02-04,17.997218,77.698921,"the temple street, Bidar","On credible information a raid was conducted near the sugar factory road at Gandhi Nagar, Bidar at about 01.45 hours. The accused was found transporting 5 boxes of Indian made liquor without a valid permit in a Mahindra Bolero pickup. Contraband valued at Rs 189,000 was seized.",471,Chargesheeted,Y
51,100041005202500004,51,4,1,2,9,1,2025-09-24,23:19,2025-09-24,2025-09-24,12.953974,77.890559,"the government hospital, Bengaluru Urban","The complainant was travelling in his car near Camp, Bengaluru Urban when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 308,500.",284,Closed False,Y
52,100041005202600001,51,4,1,2,8,3,2026-05-21,17:53,2026-05-21,2026-05-21,12.922358,77.930084,"the taluk office, Bengaluru Urban","At about 07.30 hours near the government hospital at Basaveshwara Nagar, Bengaluru Urban the accused riding pillion on a motorcycle snatched the mobile phone of the complainant and escaped. Handset make iPhone SE, value Rs 203,000.",282,Chargesheeted,Y
53,100061007202300001,79,6,1,1,1,1,2023-12-15,19:33,2023-12-14,2023-12-15,17.93934,77.549318,"the APMC yard, Bidar","On account of a long standing dispute over a village festival collection, the accused waylaid the deceased near Traffic, Bidar at about 15.15 hours and assaulted him on the head with a chopper resulting in his death on the spot.",475,Chargesheeted,Y
54,100311007202400001,404,31,1,2,9,1,2024-04-21,00:41,2024-04-21,2024-04-21,14.89349,76.400811,"the APMC yard, Vijayanagara","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the housing board colony at Industrial Area, Vijayanagara at about 01.15 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 187,000.",2517,Chargesheeted,Y
55,100311007202300001,404,31,1,2,9,1,2023-09-21,03:24,2023-09-19,2023-09-21,15.033077,76.428508,"the sugar factory road, Vijayanagara","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near Kote, Vijayanagara at about 05.15 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 25,000.",2509,Chargesheeted,Y
56,100311007202400002,404,31,1,2,9,1,2024-05-26,23:28,2024-05-25,2024-05-26,14.901607,76.416591,"the main road junction, Vijayanagara","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the vegetable market at Cantonment, Vijayanagara at about 21.00 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 388,500.",2517,Chargesheeted,Y
57,100131001202400005,158,13,1,2,10,3,2024-12-18,04:52,2024-12-18,2024-12-18,15.267652,75.136687,"the college ground, Dharwad","Unknown persons loaded 2 cattle belonging to the complainant from the grazing ground near the main road junction at Vidya Nagar, Dharwad into a lorry and transported them away. Value of the cattle is Rs 379,500.",955,Chargesheeted,Y
58,300131001202500002,158,13,3,5,14,3,2025-11-24,00:24,2025-11-23,2025-11-24,15.383839,75.132354,"the petrol bunk, Dharwad","During patrolling near the vegetable market at Gandhi Nagar, Dharwad the accused was found in possession of 8 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA32QM5563 were seized under panchanama.",955,Chargesheeted,Y
59,100221007202500001,287,22,1,1,1,1,2025-08-08,20:37,2025-08-07,2025-08-08,12.330451,76.713579,"the petrol bunk, Mysuru","The deceased was found lying in a pool of blood near Ashok Nagar, Mysuru. Investigation reveals that the accused, over a dispute regarding a previous quarrel between the families, stabbed the deceased with a knife causing fatal injuries.",1785,Chargesheeted,Y
60,100131007202500001,165,13,1,1,1,1,2025-10-27,02:19,2025-10-24,2025-10-27,15.104401,74.739023,"the APMC yard, Dharwad","a share in ancestral property ವಿಚಾರವಾಗಿ ಬಹುದಿನಗಳ ವೈಷಮ್ಯದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಆರೋಪಿಯು the college ground at Women, Dharwad ಬಳಿ ಮೃತರನ್ನು ತಡೆದು ಮಾರಕಾಯುಧದಿಂದ ಹಲ್ಲೆ ಮಾಡಿ ಸಾವಿಗೆ ಕಾರಣನಾಗಿರುತ್ತಾನೆ.",1004,Chargesheeted,Y
61,100041005202500005,51,4,1,2,6,2,2025-04-17,01:32,2025-04-15,2025-04-17,13.063742,77.857991,"the government hospital, Bengaluru Urban","The complainant had locked the house at Camp, Bengaluru Urban and gone to his native place. On return he found the rear door broken open. Unknown accused entered the house during night hours, broke open the almirah and committed theft of gold ornaments and cash totalling Rs 26,500.",284,Chargesheeted,Y
62,100111008202300001,142,11,1,2,6,2,2023-01-14,01:42,2023-01-12,2023-01-14,12.951344,75.012146,"the college ground, Dakshina Kannada","Unknown accused broke the shutter lock of the shop of the complainant situated at the petrol bunk at Ring Road, Dakshina Kannada during night hours and committed theft of cash from the counter and goods worth Rs 158,500.",853,Chargesheeted,Y
63,100111008202200001,142,11,1,2,9,1,2022-04-06,23:29,2022-04-06,2022-04-06,12.930227,74.976255,"the bus stand, Dakshina Kannada","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the taluk office at Industrial Area, Dakshina Kannada at about 19.00 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 90,000.",853,Chargesheeted,Y
64,100111008202300002,142,11,1,2,6,2,2023-05-11,03:37,2023-05-10,2023-05-11,12.938476,74.930406,"the vegetable market, Dakshina Kannada","Unknown accused broke the shutter lock of the shop of the complainant situated at the bus stand at Gandhi Nagar, Dakshina Kannada during night hours and committed theft of cash from the counter and goods worth Rs 229,500.",858,Closed False,Y
65,100111008202200002,142,11,1,2,6,2,2022-12-11,01:40,2022-12-11,2022-12-11,13.033441,74.984499,"the college ground, Dakshina Kannada","Vidya Nagar, Dakshina Kannada ನಲ್ಲಿರುವ ದೂರುದಾರರ ಅಂಗಡಿಯ ಶಟರ್ ಬೀಗವನ್ನು ಅಪರಿಚಿತ ಆರೋಪಿಗಳು ರಾತ್ರಿ ವೇಳೆ ಮುರಿದು ರೂ 399,500 ಮೌಲ್ಯದ ನಗದು ಮತ್ತು ಸಾಮಗ್ರಿಗಳನ್ನು ಕಳವು ಮಾಡಿರುತ್ತಾರೆ.",854,Chargesheeted,Y
66,100111008202200003,142,11,1,2,6,2,2022-06-12,04:35,2022-06-12,2022-06-12,13.016113,74.942225,"the taluk office, Dakshina Kannada","The complainant closed his provision store at Market, Dakshina Kannada at 12.00 hours. In the early morning it was found that the rolling shutter had been prised open with a crowbar and stock and cash totalling Rs 369,000 was missing.",853,Chargesheeted,Y
67,100111008202200004,142,11,1,2,6,2,2022-11-15,03:49,2022-11-15,2022-11-15,13.047559,74.885771,"the bus stand, Dakshina Kannada","Unknown accused broke the shutter lock of the shop of the complainant situated at the sugar factory road at Traffic, Dakshina Kannada during night hours and committed theft of cash from the counter and goods worth Rs 78,500.",854,Chargesheeted,Y
68,100271003202500001,339,27,1,2,5,3,2025-06-12,03:13,2025-06-10,2025-06-12,13.270029,74.563268,"the railway station, Udupi","ದೂರುದಾರರು ತಮ್ಮ Honda Activa scooter ವಾಹನ ಸಂಖ್ಯೆ KA13UC3565 ಅನ್ನು the housing board colony at Ring Road, Udupi ಬಳಿ ನಿಲ್ಲಿಸಿದ್ದು, 22.30 ಗಂಟೆ ಸುಮಾರಿಗೆ ವಾಹನ ಕಾಣೆಯಾಗಿರುತ್ತದೆ. ಆರೋಪಿಯು ಹ್ಯಾಂಡಲ್ ಲಾಕ್ ಮುರಿದು ಕಳವು ಮಾಡಿರುತ್ತಾನೆ. ಮಾಲಿನ ಬೆಲೆ ರೂ 197,500.",2096,Chargesheeted,Y
69,100111008202400001,142,11,1,4,13,3,2024-02-09,11:32,2024-02-09,2024-02-09,12.933265,75.009749,"the APMC yard, Dakshina Kannada","Unknown accused obtained the card details of the complainant and made online transactions totalling Rs 20,500. The complainant had used his card last at Vidya Nagar, Dakshina Kannada.",854,Chargesheeted,Y
70,100111008202300003,142,11,1,2,6,2,2023-11-28,00:50,2023-11-25,2023-11-28,12.946062,75.005803,"the railway station, Dakshina Kannada","The complainant closed his provision store at Camp, Dakshina Kannada at 12.30 hours. In the early morning it was found that the rolling shutter had been prised open with a crowbar and stock and cash totalling Rs 195,000 was missing.",854,Chargesheeted,Y
