AccusedMasterID,CaseMasterID,ResolvedIdentityID
289,171,R000172
290,171,R000173
291,171,R000174
292,171,R000175
293,172,R000170
294,172,R000179
295,173,R000172
296,174,R000176
297,175,R000177
298,176,R000177
299,177,R000178
300,178,R000170
301,178,R000179
302,178,R000164
303,179,R000170
304,180,R000170
305,181,R000180
306,181,R000181
307,182,R000182
308,183,R003776
309,184,R000182
310,185,R000182
311,186,R000182
312,187,R000182
313,188,R000183
314,188,R000184
315,189,R000182
316,190,R000182
317,191,R000180
318,191,R000185
319,192,R000186
320,193,R000180
321,193,R000181
322,194,R000186
323,195,R000187
324,195,R000188
325,196,R000196
326,197,R000196
327,197,R000189
328,197,R000190
329,198,R000191
330,199,R000192
331,199,R000193
332,200,R000196
333,200,R000194
334,200,R000195
335,201,R000186
336,202,R000196
337,203,R000196
338,204,R000196
339,204,R000197
340,205,R000196
341,206,R000198
342,207,R000199
343,207,R000200
344,207,R000201
345,207,R000202
346,208,R000199
347,209,R000203
348,209,R000204
349,210,R001911
350,210,R000205
351,210,R000206
352,211,R000207
353,212,R000208
354,213,R000209
355,214,R000209
356,215,R000209
357,216,R000212
358,217,R000210
359,217,R000187
360,217,R000211
361,218,R000212
362,218,R000213
363,219,R000212
364,220,R000214
365,221,R000212
366,222,R000215
367,222,R000216
368,223,R000217
369,223,R000218
370,223,R000219
371,224,R000220
372,225,R000220
373,225,R000221
374,226,R000222
375,227,R000220
376,228,R000223
377,229,R000224
378,230,R000225
379,230,R000226
380,231,R000227
381,232,R000228
382,233,R000229
383,234,R000230
384,235,R000231
385,236,R000232
386,237,R000233
387,237,R000234
388,238,R000180
389,239,R000235
390,239,R000236
391,240,R000180
392,240,R000237
393,240,R000181
394,241,R000238
395,241,R000239
396,241,R000240
397,242,R000241
398,243,R000242
399,244,R000243
400,245,R000243
401,245,R000244
402,246,R000245
403,246,R000246
404,247,R000247
405,248,R000247
406,249,R000247
407,249,R000248
408,250,R000249
409,250,R000250
410,250,R000251
411,251,R000252
412,251,R000251
413,252,R000253
414,252,R000254
415,252,R000250
416,252,R000255
417,252,R000256
418,253,R000257
419,254,R000258
420,255,R000798
421,256,R000261
422,256,R000259
423,257,R000260
424,258,R000261
425,258,R000262
426,259,R000261
427,260,R000263
428,261,R000263
429,262,R000264
430,262,R000267
431,263,R000265
432,264,R000263
433,265,R000263
434,266,R000263
435,267,R000266
436,267,R000267
437,268,R000268
438,268,R000269
439,269,R000266
440,269,R000270
441,269,R000267
442,270,R000263
443,271,R000271
444,272,R000272
445,272,R000273
446,273,R000274
447,274,R000274
448,274,R000275
449,275,R000276
450,275,R000277
451,276,R000278
452,277,R000264
453,278,R000294
454,278,R000279
455,279,R000266
456,280,R000280
457,280,R000281
458,280,R000282
459,281,R000283
460,282,R000284
461,283,R000284
462,284,R000284
463,285,R000284
464,286,R000285
465,287,R000286
466,287,R000287
467,287,R000288
468,288,R000294
469,288,R000289
470,288,R000290
471,289,R000291
472,289,R000292
473,289,R000293
474,290,R000294
475,290,R000290
476,291,R000294
477,292,R000294
478,292,R000295
479,293,R000294
480,294,R000294
481,294,R000289
482,295,R000294
483,296,R000294
484,297,R000296
485,297,R000297
486,298,R000298
487,299,R000298
488,299,R000299
489,299,R000300
490,300,R000301
491,301,R000302
492,301,R000303
493,302,R000298
494,303,R000310
495,304,R000325
496,304,R000304
497,304,R000305
498,305,R000310
499,306,R000306
500,307,R000307
501,308,R000308
502,309,R000309
503,310,R000310
504,311,R000311
505,312,R000310
506,312,R000312
507,312,R000313
508,312,R000314
509,312,R000315
510,313,R000316
511,313,R000317
512,314,R000318
513,314,R000319
514,314,R000320
515,315,R000327
516,315,R000321
517,315,R000318
518,316,R000322
519,317,R000323
520,317,R000324
521,317,R000305
522,318,R000318
523,319,R000325
524,319,R000304
525,319,R002176
526,319,R000326
527,320,R000322
528,320,R000327
529,320,R000328
530,321,R000322
531,322,R000329
532,322,R000330
533,323,R000327
534,324,R000331
535,325,R000322
536,326,R000332
537,327,R000333
538,328,R000334
539,329,R000329
540,329,R000335
541,329,R000336
542,330,R000337
543,331,R000338
544,331,R000339
545,332,R000337
546,332,R000340
547,333,R000337
548,333,R000341
549,333,R000342
550,333,R000343
551,334,R000325
552,335,R000344
553,335,R000345
554,335,R000346
555,336,R000347
556,336,R000348
557,337,R000347
558,338,R000347
559,339,R000349
560,339,R000350
561,340,R000347
562,341,R000351
563,341,R000352
564,342,R000351
565,343,R000353
566,343,R000354
567,343,R000355
568,344,R000356
569,345,R000040
570,345,R000038
571,346,R000370
572,346,R000357
573,347,R000358
574,348,R000370
575,348,R000359
576,348,R000360
577,349,R000367
578,350,R000338
579,350,R000339
580,351,R000361
581,351,R000362
582,351,R000363
583,351,R000364
584,351,R000365
585,352,R000366
586,353,R000367
587,354,R000367
588,354,R000368
589,354,R000369
590,355,R000370
591,356,R000370
592,357,R000370
593,358,R000370
594,358,R000371
595,358,R000372
596,359,R000370
597,359,R000373
598,360,R000422
599,360,R000362
600,361,R000381
601,362,R000381
602,363,R000381
603,363,R000374
604,364,R000375
605,364,R000376
606,364,R000377
607,364,R000378
608,365,R000379
609,365,R000380
610,366,R000381
611,367,R000382
612,367,R000383
613,367,R000384
614,368,R000381
615,368,R000385
616,368,R000386
617,369,R000381
618,369,R000387
619,370,R000381
620,371,R000379
621,371,R000388
622,371,R000389
623,371,R000390
624,371,R000391
625,372,R000392
626,372,R000384
627,373,R000393
628,373,R000394
629,373,R000395
630,374,R000396
631,375,R000397
632,375,R000398
633,376,R000399
634,377,R000400
635,378,R000401
636,378,R000578
637,379,R000243
638,380,R000402
639,381,R000403
640,382,R000402
641,382,R000404
642,382,R000405
643,383,R000406
644,383,R000407
645,384,R000408
646,384,R000409
647,384,R000410
648,385,R000411
649,386,R000412
650,387,R000412
651,388,R000413
652,389,R000412
653,389,R000414
654,390,R000408
655,390,R000409
656,390,R000415
657,391,R000416
658,391,R000417
659,391,R000418
660,391,R000419
661,392,R000361
662,393,R000420
663,394,R000421
664,394,R000418
665,394,R000417
666,395,R000422
667,395,R000423
668,395,R000424
669,396,R000425
670,396,R000426
671,397,R000422
672,398,R000427
673,399,R000428
674,400,R000429
675,400,R000430
676,400,R000431
677,401,R000428
678,401,R000432
679,401,R000433
680,402,R000434
681,402,R000435
682,402,R000436
683,402,R000437
684,403,R000428
685,404,R000438
686,405,R000438
687,406,R000439
688,406,R000440
689,406,R000441
690,407,R000439
691,408,R000442
692,409,R000443
693,410,R000444
694,410,R000445
695,410,R000446
696,411,R000408
697,412,R000447
698,412,R000448
699,412,R000449
700,412,R000450
701,413,R000452
702,413,R000451
703,414,R000452
704,415,R000453
705,415,R000454
706,415,R000455
707,415,R000456
708,416,R000457
709,416,R000458
710,417,R000453
711,417,R002933
712,417,R000459
713,418,R000453
714,419,R000452
715,419,R000414
716,420,R000460
717,421,R000452
718,421,R000461
719,421,R000462
720,422,R000452
721,423,R000463
722,424,R000463
723,424,R000464
724,425,R000463
725,426,R000463
726,427,R000465
727,428,R000466
728,429,R000467
729,429,R000468
730,429,R000469
731,429,R003529
732,430,R000457
733,430,R000470
734,431,R000457
735,431,R000458
736,432,R000471
737,432,R000472
738,433,R000473
739,434,R000474
740,434,R000475
741,434,R000476
742,435,R000477
743,435,R000478
744,435,R000479
745,435,R000480
746,436,R000481
747,437,R000482
748,437,R000483
749,437,R000484
750,438,R000485
751,438,R000486
752,439,R000487
753,439,R000488
754,439,R000489
755,440,R000492
756,440,R000490
757,440,R000491
758,441,R000492
759,442,R000492
760,442,R000493
761,443,R000494
762,444,R000487
763,444,R000488
764,444,R000495
765,445,R000492
766,446,R000496
767,447,R000492
768,448,R000492
769,449,R000497
770,450,R000498
771,450,R000499
772,451,R000500
773,452,R000500
774,452,R000501
775,453,R000502
776,453,R000503
777,454,R000504
778,454,R000505
779,454,R000506
780,455,R000507
781,455,R000508
782,456,R000509
783,457,R000510
784,457,R000511
785,457,R000512
786,458,R000513
787,458,R000514
788,458,R000515
789,458,R000516
790,458,R000517
791,459,R000523
792,460,R000518
793,460,R000519
794,460,R000520
795,461,R000521
796,461,R000522
797,462,R000523
798,463,R000523
799,463,R000524
800,464,R000525
801,465,R000526
802,465,R000527
803,465,R000528
804,465,R000529
805,466,R000530
806,466,R000531
807,467,R000532
808,468,R000533
809,469,R000534
810,470,R000534
811,471,R000535
812,472,R000536
813,473,R000537
814,473,R000527
815,474,R000538
816,475,R000539
817,476,R000539
818,477,R000539
819,477,R000540
820,478,R000541
821,479,R000542
822,480,R000547
823,481,R000543
824,482,R000547
825,482,R000544
826,482,R000545
827,483,R000547
828,484,R000547
829,485,R000547
830,485,R000546
831,486,R000547
832,487,R000547
833,488,R000547
834,489,R000548
835,489,R000549
836,490,R000547
837,490,R000550
838,490,R000551
839,491,R000252
840,491,R000552
841,492,R000529
842,492,R000548
843,493,R000562
844,493,R004067
845,494,R000547
846,494,R000553
847,494,R000554
848,495,R000547
849,496,R000555
850,497,R000556
851,497,R000557
852,498,R000558
853,499,R000558
854,499,R000559
855,499,R000560
856,499,R000561
857,500,R000558
858,501,R000562
859,501,R000563
860,501,R000564
861,502,R000565
862,502,R000566
863,502,R000567
864,503,R000558
865,504,R000562
866,505,R000562
867,506,R000568
868,507,R000569
869,508,R000569
870,509,R000570
871,509,R000571
872,510,R000572
873,511,R000573
874,512,R000574
875,513,R000575
876,513,R000576
877,514,R000577
878,514,R000578
879,514,R004067
880,515,R000577
881,516,R000579
882,517,R000580
883,517,R000581
884,518,R000582
885,519,R000583
886,519,R000584
887,520,R000585
888,521,R000582
889,521,R000586
890,521,R000587
891,521,R000588
892,521,R000589
893,522,R000582
894,522,R000590
895,522,R000591
896,523,R000582
897,524,R000582
898,525,R000592
899,525,R000593
900,526,R000594
901,527,R000595
902,527,R000596
903,528,R000597
904,528,R000598
905,529,R000599
906,530,R000597
907,531,R000600
908,531,R000601
909,532,R000602
910,533,R000603
911,533,R000604
912,534,R000605
913,535,R000597
914,536,R000606
915,537,R000607
916,537,R000608
917,537,R000609
918,538,R000610
919,538,R000611
920,539,R000612
921,539,R000613
922,540,R000607
923,540,R000609
924,541,R000607
925,542,R004327
926,542,R000625
927,542,R000614
928,543,R000616
929,544,R000615
930,545,R000616
931,546,R003433
932,546,R000617
933,547,R000618
934,548,R000618
935,548,R000619
936,548,R000620
937,548,R002978
938,549,R000620
939,550,R000653
940,550,R000614
941,551,R000620
942,552,R000618
943,553,R000621
944,554,R000618
945,555,R000622
946,555,R000623
947,556,R000618
948,556,R000624
949,557,R000628
950,558,R000648
951,558,R000625
952,558,R000614
953,558,R000626
954,559,R000629
955,560,R000629
956,561,R000629
957,561,R000627
958,562,R000628
959,563,R000628
960,564,R000629
961,565,R000629
962,566,R000629
963,567,R000629
964,567,R000630
965,567,R000631
966,567,R000632
967,568,R000633
968,568,R001698
969,568,R000634
970,568,R000635
971,569,R000636
972,570,R000637
973,571,R000638
974,572,R000638
975,573,R000639
976,573,R000134
977,573,R000838
978,573,R000640
979,574,R000641
980,574,R000642
981,574,R000643
982,575,R000638
983,575,R000644
984,575,R000645
985,576,R000646
986,576,R000647
987,577,R000648
988,578,R000649
989,578,R000650
990,579,R000648
991,579,R000626
992,579,R000625
993,579,R000651
994,580,R000652
995,581,R000653
996,581,R000654
997,581,R000655
998,582,R000653
999,583,R000656
1000,583,R000657
1001,584,R000658
1002,584,R000659
1003,584,R000660
1004,585,R000663
1005,586,R000661
1006,587,R000662
1007,588,R000663
1008,589,R000664
1009,590,R000665
1010,590,R000666
1011,590,R002005
1012,591,R000665
1013,592,R000665
1014,592,R000666
1015,593,R000667
1016,593,R000668
1017,594,R000694
1018,594,R000669
1019,594,R000670
1020,595,R000671
1021,595,R000672
1022,596,R000672
1023,597,R000673
1024,597,R000674
1025,597,R000675
1026,597,R000676
1027,598,R000673
1028,599,R000672
1029,600,R000673
1030,601,R000677
1031,602,R000677
1032,603,R000677
1033,604,R000677
1034,605,R000677
1035,606,R000678
1036,607,R000679
1037,608,R002424
1038,608,R000680
1039,609,R000681
1040,609,R000682
1041,609,R000683
1042,610,R000684
1043,611,R000685
1044,611,R000686
1045,612,R000694
1046,612,R000687
1047,613,R000694
1048,613,R000687
1049,614,R000492
1050,615,R000688
1051,616,R000694
1052,616,R000689
1053,617,R000694
1054,617,R000689
1055,617,R000690
1056,617,R000691
1057,618,R000694
1058,619,R000694
1059,620,R000694
1060,620,R000689
1061,621,R000694
1062,622,R000692
1063,622,R000693
1064,623,R000694
1065,624,R000694
1066,624,R000695
1067,625,R000694
1068,626,R000696
1069,627,R000694
1070,628,R000694
1071,629,R000694
1072,629,R000697
1073,629,R000691
1074,630,R000698
1075,631,R000701
1076,631,R000699
1077,631,R000700
1078,632,R000701
1079,632,R000702
1080,633,R000701
1081,634,R000701
1082,635,R000703
1083,635,R000704
1084,636,R000705
1085,637,R000706
1086,638,R000707
1087,638,R000708
1088,639,R000709
1089,640,R000705
1090,641,R003284
1091,641,R000710
1092,642,R000712
1093,643,R000712
1094,644,R000712
1095,645,R000711
1096,646,R000711
1097,647,R000711
1098,648,R000712
1099,649,R000712
1100,650,R000712
1101,651,R000712
1102,652,R000713
1103,653,R000714
1104,654,R000712
1105,655,R000712
1106,656,R000715
1107,657,R000716
1108,658,R000712
1109,658,R000717
1110,659,R000717
1111,660,R000718
1112,660,R000719
1113,660,R000720
1114,660,R000710
1115,660,R000721
1116,661,R000722
1117,662,R000723
1118,663,R000724
1119,664,R000725
1120,665,R000726
1121,665,R000727
1122,665,R000728
1123,665,R000729
1124,666,R000730
1125,667,R000731
1126,668,R000732
1127,669,R000733
1128,669,R000571
1129,670,R000734
1130,670,R000735
1131,671,R000726
1132,671,R000736
1133,672,R000737
1134,672,R000738
1135,673,R000739
1136,673,R000740
1137,674,R000741
1138,674,R000742
1139,675,R000726
1140,675,R000743
1141,676,R000726
1142,677,R000732
1143,678,R000744
1144,679,R000745
1145,679,R000746
1146,680,R002512
1147,680,R000740
1148,681,R000747
1149,682,R000748
1150,683,R000726
1151,684,R000749
1152,684,R000750
1153,684,R000751
1154,685,R000726
1155,685,R000752
1156,685,R000753
1157,686,R000754
1158,686,R000755
1159,686,R001504
1160,686,R000756
1161,687,R000758
1162,688,R000757
1163,689,R000758
1164,690,R000758
1165,690,R000759
1166,690,R000760
1167,691,R000758
1168,692,R000767
1169,692,R000761
1170,692,R000762
1171,692,R000763
1172,693,R000767
1173,693,R000764
1174,694,R000765
1175,695,R000749
1176,695,R000750
1177,695,R000766
1178,696,R000767
1179,697,R000768
1180,698,R000768
1181,699,R000768
1182,699,R000769
1183,700,R000768
1184,701,R000772
1185,701,R000770
1186,702,R000771
1187,702,R000511
1188,703,R000772
1189,703,R000773
1190,704,R000774
1191,705,R000774
1192,706,R000778
1193,707,R000778
1194,708,R000778
1195,708,R000775
1196,708,R000776
1197,708,R000777
1198,709,R000778
1199,710,R000778
1200,711,R000772
1201,711,R000770
1202,711,R000779
1203,712,R000778
1204,713,R000778
1205,713,R000780
1206,714,R000781
1207,714,R000782
1208,714,R003883
1209,714,R000783
1210,715,R000784
1211,716,R000784
1212,717,R000784
1213,717,R000785
1214,718,R000784
1215,719,R000786
1216,719,R000787
1217,719,R000788
1218,719,R000789
1219,720,R000784
1220,720,R000790
1221,721,R000791
1222,722,R000791
1223,723,R000792
1224,724,R000793
1225,725,R000781
1226,725,R000794
1227,725,R000782
1228,725,R000795
1229,725,R000796
1230,726,R000797
1231,726,R000798
1232,726,R000799
1233,727,R000800
1234,727,R000801
1235,727,R000802
1236,727,R000803
1237,728,R000685
1238,729,R000097
1239,729,R000804
1240,730,R000805
1241,730,R000806
1242,730,R000807
1243,730,R000808
1244,731,R000805
1245,732,R000809
1246,733,R000818
1247,733,R000810
1248,734,R000811
1249,734,R000812
1250,734,R000813
1251,735,R000815
1252,735,R000814
1253,736,R000815
1254,737,R000815
1255,737,R000816
1256,737,R001822
1257,737,R000817
1258,738,R000818
1259,738,R000819
1260,738,R000820
1261,738,R000821
1262,739,R000822
1263,740,R000823
1264,740,R000824
1265,741,R000823
1266,742,R003964
1267,742,R000825
1268,743,R000826
1269,743,R000827
1270,744,R000818
1271,744,R000819
1272,745,R000828
1273,746,R000829
1274,746,R000830
1275,747,R000749
1276,747,R000831
1277,748,R000832
1278,748,R000833
1279,748,R000834
1280,749,R000749
1281,750,R000749
1282,751,R000835
1283,752,R000836
1284,753,R000837
1285,753,R000838
1286,754,R000839
1287,755,R000840
1288,756,R000837
1289,756,R000841
1290,756,R000838
1291,757,R000842
1292,757,R000843
1293,758,R000844
1294,758,R000845
1295,759,R000846
1296,760,R000847
1297,760,R000848
1298,760,R000849
1299,761,R000850
1300,761,R000851
1301,761,R000852
1302,762,R000847
1303,762,R000853
1304,763,R000850
1305,763,R000854
1306,764,R000855
1307,764,R000856
1308,765,R000857
1309,766,R000858
1310,767,R000859
1311,768,R000860
1312,769,R000861
1313,769,R000862
1314,769,R000863
1315,770,R000861
1316,770,R000864
1317,771,R000861
1318,772,R000855
1319,772,R000856
1320,773,R000865
1321,774,R000861
1322,774,R000866
1323,774,R000867
1324,775,R000861
1325,776,R000868
1326,777,R000870
1327,777,R000869
1328,778,R000870
1329,778,R000871
1330,778,R000872
1331,779,R000870
1332,780,R000873
1333,780,R000874
1334,781,R000875
1335,782,R000876
1336,782,R000877
1337,783,R000878
1338,783,R000445
1339,783,R000879
1340,783,R000880
1341,783,R000881
1342,784,R000882
1343,784,R000883
1344,784,R000884
1345,785,R000888
1346,785,R000885
1347,786,R003385
1348,786,R000886
1349,787,R000888
1350,787,R000887
1351,788,R000888
1352,789,R000889
1353,790,R000888
1354,790,R000890
1355,791,R000888
1356,792,R000888
1357,793,R000897
1358,794,R000897
1359,794,R000891
1360,794,R000892
1361,794,R000893
1362,795,R000897
1363,796,R000894
1364,797,R000895
1365,798,R000897
1366,799,R000896
1367,800,R000895
1368,801,R000897
1369,802,R000897
1370,803,R000897
1371,803,R000898
1372,804,R000899
1373,805,R000900
1374,806,R000901
1375,806,R003973
1376,806,R000902
1377,807,R000897
1378,808,R000903
1379,809,R000904
1380,810,R000896
1381,811,R000907
1382,812,R000905
1383,813,R000907
1384,814,R000906
1385,815,R000907
1386,816,R000908
1387,816,R000909
1388,817,R000910
1389,817,R000911
1390,818,R000914
1391,819,R000912
1392,820,R000914
1393,821,R000913
1394,822,R000914
1395,823,R000910
1396,823,R000911
1397,823,R000915
1398,823,R000916
1399,824,R000917
1400,824,R000918
1401,825,R000914
1402,825,R000919
1403,826,R000914
1404,827,R000920
1405,827,R000911
1406,827,R000921
1407,828,R000922
1408,829,R000923
1409,829,R000924
1410,830,R000925
1411,831,R000927
1412,832,R000926
1413,833,R000927
1414,833,R000928
1415,834,R000927
1416,835,R000927
1417,836,R000929
1418,837,R000930
1419,838,R000931
1420,838,R000932
1421,839,R000933
1422,839,R000934
1423,839,R000935
1424,840,R003389
1425,840,R000936
1426,840,R000937
1427,840,R000938
1428,841,R000939
1429,842,R000940
1430,843,R000941
1431,844,R000604
1432,844,R000942
1433,845,R000943
1434,845,R000944
1435,846,R000945
1436,846,R000946
1437,847,R000947
1438,848,R000948
1439,849,R000949
1440,850,R000950
1441,850,R000951
1442,850,R000952
1443,851,R000953
1444,851,R000954
1445,852,R000955
1446,853,R000956
1447,853,R000957
1448,854,R000956
1449,855,R000958
1450,856,R000959
1451,857,R000959
1452,857,R000960
1453,858,R000959
1454,859,R000959
1455,860,R000959
1456,861,R000959
1457,861,R000961
1458,861,R000962
1459,862,R000953
1460,862,R000963
1461,863,R000943
1462,863,R000964
1463,863,R000944
1464,864,R000965
1465,864,R000966
1466,864,R000967
1467,864,R000968
1468,865,R000969
1469,866,R000970
1470,866,R000971
1471,867,R000972
1472,868,R000972
1473,869,R000322
1474,870,R000972
1475,871,R000953
1476,872,R000953
1477,873,R000953
1478,874,R000953
1479,875,R000973
1480,876,R000974
1481,876,R000975
1482,877,R000978
1483,877,R000976
1484,877,R000977
1485,878,R000978
1486,879,R000978
1487,879,R000979
1488,880,R000978
1489,880,R000980
1490,881,R000981
1491,882,R000974
1492,882,R000982
1493,883,R000974
1494,883,R000983
1495,883,R000984
1496,884,R000978
1497,885,R000985
1498,885,R000986
1499,886,R000987
1500,886,R000988
1501,887,R000978
1502,887,R000976
1503,887,R000989
1504,888,R000978
1505,889,R000978
1506,890,R000990
1507,891,R000991
1508,891,R000992
1509,892,R000991
1510,892,R000992
1511,893,R000993
1512,894,R000994
1513,894,R000995
1514,895,R000996
1515,895,R000997
1516,896,R000998
1517,896,R000999
1518,897,R000998
1519,898,R001000
1520,898,R001001
1521,898,R001002
1522,899,R001003
1523,900,R001003
1524,901,R001003
1525,902,R001004
1526,903,R001008
1527,903,R001005
1528,904,R001006
1529,904,R001007
1530,905,R001008
1531,905,R001009
1532,905,R001005
1533,905,R001010
1534,906,R001008
1535,907,R001011
1536,908,R001018
1537,909,R001012
1538,910,R001013
1539,911,R001013
1540,912,R001014
1541,912,R001015
1542,912,R001016
1543,912,R000097
1544,912,R001017
1545,913,R001018
1546,914,R001018
1547,914,R001019
1548,915,R001018
1549,916,R001018
1550,916,R001020
1551,917,R001018
1552,918,R001021
1553,919,R001022
1554,920,R001023
1555,920,R001024
1556,921,R001022
1557,922,R001022
1558,923,R001022
1559,924,R001023
1560,924,R001025
1561,924,R001026
1562,924,R001027
1563,924,R001028
1564,925,R001022
1565,926,R001022
1566,926,R001029
1567,927,R001030
1568,927,R001031
1569,927,R001032
1570,927,R001033
1571,928,R001034
1572,929,R001022
1573,929,R001035
1574,929,R001036
1575,929,R001037
1576,929,R001038
1577,930,R001022
1578,931,R001039
1579,932,R001040
1580,932,R001041
1581,933,R001042
1582,933,R001043
1583,933,R001044
1584,934,R001046
1585,934,R001045
1586,935,R001046
1587,935,R001047
1588,936,R001046
1589,937,R001048
1590,938,R001049
1591,939,R001049
1592,940,R001049
1593,941,R001049
1594,942,R001050
1595,942,R001051
1596,942,R001052
1597,943,R001053
1598,944,R001049
1599,945,R001049
1600,946,R001054
1601,947,R001049
1602,948,R001049
1603,949,R001055
1604,949,R001056
1605,949,R001057
1606,949,R001058
1607,950,R001059
1608,951,R001059
1609,952,R001060
1610,952,R001061
1611,953,R001072
1612,954,R001062
1613,954,R001063
1614,954,R001064
1615,954,R001065
1616,955,R001066
1617,955,R001067
1618,955,R001068
1619,955,R001069
1620,956,R001070
1621,956,R001071
1622,957,R001072
1623,958,R001073
1624,958,R001074
1625,958,R001075
1626,958,R001076
1627,959,R001077
1628,959,R000282
1629,960,R001072
1630,961,R001078
1631,961,R001079
1632,962,R001080
1633,963,R001081
1634,964,R001082
1635,965,R001083
1636,966,R001084
1637,966,R001085
1638,967,R001086
1639,968,R001087
1640,969,R001088
1641,970,R001088
1642,970,R001089
1643,971,R001088
1644,971,R001090
1645,971,R001091
1646,971,R001092
1647,972,R001088
1648,973,R001093
1649,974,R001093
1650,975,R001093
1651,975,R001094
1652,975,R001095
1653,976,R001100
1654,976,R001101
1655,977,R001100
1656,977,R001096
1657,978,R001097
1658,978,R001098
1659,978,R001099
1660,979,R001100
