ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestType,ArrestDate,ArrestTime,ArrestPlace,ArrestingOfficerID,RemandDate,BailFlag
25,31,44,Arrest,2024-09-09,19:25,a lodge in the town,1090,2024-09-10,Y
26,33,47,Arrest,2026-07-08,01:56,the taluk border check post,953,2026-07-09,N
27,34,49,Arrest,2025-04-17,21:26,the vegetable market,518,2025-04-18,N
28,36,52,Arrest,2025-12-22,02:28,the village outskirts,287,2025-12-23,N
29,36,53,Arrest,2026-01-17,10:12,the highway toll gate,282,2026-01-18,N
30,38,55,Arrest,2025-03-03,08:04,a lodge in the town,366,2025-03-04,N
31,39,56,Arrest,2026-03-28,07:56,his residence,479,2026-03-29,Y
32,40,57,Surrender,2025-12-29,10:44,the highway toll gate,287,2025-12-30,Y
33,40,58,Surrender,2025-11-19,12:27,the railway station,282,2025-11-20,Y
34,42,60,Arrest,2025-07-22,22:05,the taluk border check post,479,2025-07-23,Y
35,43,61,Arrest,2025-09-28,03:52,the taluk border check post,479,2025-09-29,N
36,45,66,Arrest,2024-11-20,15:28,the bus stand,543,2024-11-21,Y
37,46,67,Arrest,2024-04-27,00:35,the village outskirts,546,2024-04-28,N
38,46,69,Arrest,2024-04-09,13:44,the vegetable market,539,2024-04-10,Y
39,47,70,Arrest,2024-04-20,08:05,his residence,539,2024-04-21,N
40,49,72,Arrest,2026-03-25,16:21,a lodge in the town,470,2026-03-26,Y
41,50,74,Surrender,2025-02-18,23:06,a lodge in the town,477,2025-02-19,N
42,50,75,Arrest,2025-02-13,08:10,the highway toll gate,470,2025-02-14,N
43,50,76,Arrest,2025-03-02,21:45,the vegetable market,469,2025-03-03,Y
44,51,77,Arrest,2025-11-01,06:36,a lodge in the town,287,2025-11-02,Y
45,51,78,Arrest,2025-10-05,04:27,the bus stand,282,2025-10-06,N
46,52,79,Arrest,2026-06-09,23:39,the railway station,287,2026-06-10,N
47,53,81,Arrest,2024-01-19,18:54,his residence,473,2024-01-20,Y
48,55,84,Arrest,2023-09-27,09:23,the vegetable market,2516,2023-09-28,Y
49,56,85,Arrest,2024-06-26,17:39,the bus stand,2512,2024-06-27,Y
50,56,86,Arrest,2024-06-05,17:00,the taluk border check post,2511,2024-06-06,N
51,57,87,Arrest,2025-01-12,02:38,the railway station,954,2025-01-13,Y
52,59,90,Arrest,2025-09-11,14:04,the bus stand,1786,2025-09-12,N
53,59,91,Arrest,2025-08-10,08:03,the vegetable market,1782,2025-08-11,Y
54,61,93,Surrender,2025-05-19,10:47,the vegetable market,284,2025-05-20,Y
55,62,94,Arrest,2023-02-08,04:47,his residence,854,2023-02-09,N
56,63,96,Arrest,2022-04-13,11:39,the vegetable market,854,2022-04-14,N
57,65,101,Arrest,2022-12-15,10:23,the railway station,854,2022-12-16,Y
58,66,102,Arrest,2022-07-14,10:37,a lodge in the town,854,2022-07-15,Y
59,68,106,Arrest,2025-06-24,23:47,the vegetable market,2096,2025-06-25,N
60,70,109,Arrest,2023-12-23,17:42,a lodge in the town,855,2023-12-24,N
61,71,112,Surrender,2026-03-24,16:28,the taluk border check post,2096,2026-03-25,Y
62,74,115,Arrest,2024-02-12,02:17,the highway toll gate,2096,2024-02-13,Y
63,75,116,Arrest,2026-04-06,00:02,a lodge in the town,187,2026-04-07,N
64,76,117,Arrest,2025-12-21,06:47,the village outskirts,187,2025-12-22,Y
65,76,118,Surrender,2025-12-14,17:52,the highway toll gate,184,2025-12-15,Y
66,77,119,Arrest,2026-02-10,10:10,the bus stand,187,2026-02-11,N
67,78,120,Arrest,2025-10-24,07:38,his residence,187,2025-10-25,N
68,78,121,Arrest,2025-10-26,11:41,the village outskirts,187,2025-10-27,N
69,79,122,Arrest,2025-12-15,09:06,the village outskirts,187,2025-12-16,Y
70,79,123,Surrender,2025-12-31,08:03,the highway toll gate,187,2026-01-01,N
71,80,124,Arrest,2025-11-06,14:16,the village outskirts,187,2025-11-07,N
72,81,127,Arrest,2025-04-29,13:27,the highway toll gate,1032,2025-04-30,N
73,81,128,Arrest,2025-04-29,22:01,the village outskirts,1033,2025-04-30,Y
74,82,129,Arrest,2026-06-13,00:05,the taluk border check post,1032,2026-06-14,Y
75,83,130,Arrest,2026-02-24,08:46,the highway toll gate,1032,2026-02-25,Y
76,84,131,Arrest,2024-08-27,23:41,the village outskirts,1032,2024-08-28,Y
77,85,132,Arrest,2026-06-16,20:25,the taluk border check post,1032,2026-06-17,Y
78,86,134,Surrender,2026-03-26,11:07,the vegetable market,1029,2026-03-27,Y
79,87,135,Arrest,2025-07-16,05:19,the taluk border check post,2185,2025-07-17,Y
80,88,136,Arrest,2025-10-26,06:34,a lodge in the town,1032,2025-10-27,N
81,88,137,Surrender,2025-11-09,07:08,the vegetable market,1028,2025-11-10,N
82,88,138,Arrest,2025-11-11,16:00,the village outskirts,1035,2025-11-12,N
83,89,139,Arrest,2025-07-03,03:50,the highway toll gate,1032,2025-07-04,N
84,89,141,Arrest,2025-06-24,15:56,the village outskirts,1029,2025-06-25,Y
85,90,142,Arrest,2026-03-19,18:04,the highway toll gate,1035,2026-03-20,N
86,91,143,Arrest,2024-01-22,11:58,the bus stand,2032,2024-01-23,Y
87,92,144,Arrest,2024-01-30,22:16,the vegetable market,280,2024-01-31,N
88,93,145,Arrest,2026-03-29,19:48,the village outskirts,1285,2026-03-30,N
89,94,148,Arrest,2026-07-11,19:02,a lodge in the town,1278,2026-07-12,N
90,95,150,Arrest,2026-07-16,23:04,a lodge in the town,1277,2026-07-17,Y
91,97,155,Arrest,2025-05-08,06:08,the railway station,1280,2025-05-09,N
92,97,156,Arrest,2025-05-31,05:14,his residence,1278,2025-06-01,Y
93,98,159,Arrest,2026-04-20,18:03,the vegetable market,1278,2026-04-21,N
94,98,160,Arrest,2026-04-15,13:01,a lodge in the town,1278,2026-04-16,N
95,99,161,Arrest,2025-09-05,01:58,the taluk border check post,1281,2025-09-06,N
96,99,163,Arrest,2025-07-25,01:07,the taluk border check post,1279,2025-07-26,N
97,99,164,Arrest,2025-09-02,07:49,the bus stand,1277,2025-09-03,Y
98,100,165,Arrest,2024-08-01,07:08,a lodge in the town,1284,2024-08-02,N
99,100,166,Arrest,2024-06-28,18:09,the highway toll gate,1284,2024-06-29,N
100,101,167,Arrest,2025-11-30,08:22,a lodge in the town,2291,2025-12-01,Y
101,103,169,Arrest,2021-10-05,12:43,the vegetable market,1906,2021-10-06,N
102,103,170,Arrest,2021-10-03,15:07,the bus stand,1903,2021-10-04,Y
103,105,172,Arrest,2021-09-21,03:29,his residence,1901,2021-09-22,Y
104,107,174,Arrest,2025-12-04,00:23,the railway station,266,2025-12-05,N
105,108,175,Arrest,2023-01-04,20:16,the railway station,1431,2023-01-05,Y
106,108,176,Surrender,2022-12-27,20:41,the vegetable market,1433,2022-12-28,N
107,109,177,Arrest,2024-10-05,20:18,the highway toll gate,351,2024-10-06,Y
108,110,178,Arrest,2026-02-11,08:22,the village outskirts,351,2026-02-12,Y
109,112,180,Arrest,2025-02-11,01:32,the village outskirts,2116,2025-02-12,Y
110,114,184,Arrest,2022-10-11,14:42,the vegetable market,2118,2022-10-12,N
111,115,185,Surrender,2023-05-13,22:54,the taluk border check post,2116,2023-05-14,Y
112,115,186,Arrest,2023-04-13,10:58,the vegetable market,2112,2023-04-14,N
113,115,188,Arrest,2023-05-06,07:12,the vegetable market,2116,2023-05-07,Y
114,116,190,Arrest,2022-10-23,12:10,the railway station,2116,2022-10-24,Y
115,117,192,Arrest,2024-01-15,14:57,the railway station,1491,2024-01-16,Y
116,118,194,Arrest,2024-09-04,18:45,the vegetable market,2114,2024-09-05,N
117,119,195,Arrest,2025-04-17,05:43,the railway station,2116,2025-04-18,Y
118,121,198,Arrest,2024-03-28,04:17,a lodge in the town,1763,2024-03-29,Y
119,121,199,Arrest,2024-03-31,14:02,his residence,1766,2024-04-01,Y
120,121,200,Arrest,2024-03-29,05:57,the bus stand,1765,2024-03-30,N
121,123,202,Arrest,2025-11-17,07:51,his residence,1477,2025-11-18,Y
122,125,204,Arrest,2025-10-03,21:41,the taluk border check post,961,2025-10-04,Y
123,125,205,Arrest,2025-09-01,18:39,the highway toll gate,959,2025-09-02,Y
124,126,206,Arrest,2023-08-07,14:53,the taluk border check post,965,2023-08-08,Y
125,126,207,Arrest,2023-07-16,08:45,the village outskirts,965,2023-07-17,Y
126,127,209,Arrest,2022-09-14,09:03,the taluk border check post,956,2022-09-15,Y
127,128,210,Arrest,2023-03-05,22:53,the bus stand,965,2023-03-06,Y
128,128,211,Arrest,2023-03-03,19:57,the village outskirts,965,2023-03-04,Y
129,128,212,Arrest,2023-01-29,03:07,the bus stand,963,2023-01-30,Y
130,128,213,Arrest,2023-02-22,10:10,the bus stand,958,2023-02-23,Y
131,129,214,Arrest,2022-11-02,12:00,the highway toll gate,2070,2022-11-03,Y
132,130,215,Arrest,2024-02-29,22:44,the highway toll gate,1763,2024-03-01,N
133,130,216,Arrest,2024-03-27,14:18,the vegetable market,1765,2024-03-28,Y
134,131,217,Arrest,2023-11-24,17:39,the bus stand,1763,2023-11-25,N
135,131,218,Arrest,2023-10-29,21:35,the railway station,1766,2023-10-30,Y
136,131,219,Arrest,2023-11-08,09:32,the village outskirts,1765,2023-11-09,N
137,133,222,Arrest,2023-11-07,03:48,the vegetable market,1763,2023-11-08,Y
138,133,223,Arrest,2023-10-24,13:45,his residence,1763,2023-10-25,N
139,134,224,Surrender,2023-12-06,13:26,a lodge in the town,1763,2023-12-07,Y
140,134,225,Arrest,2023-12-23,06:16,the bus stand,1765,2023-12-24,N
141,134,226,Arrest,2023-11-30,04:48,a lodge in the town,1765,2023-12-01,Y
142,135,228,Arrest,2024-02-15,10:47,the vegetable market,1762,2024-02-16,Y
143,135,229,Arrest,2024-02-20,04:13,his residence,1764,2024-02-21,Y
144,136,230,Arrest,2023-10-28,14:58,his residence,927,2023-10-29,N
145,137,231,Arrest,2024-11-27,22:55,the railway station,927,2024-11-28,Y
146,138,232,Arrest,2024-08-01,23:49,the highway toll gate,287,2024-08-02,N
147,138,233,Arrest,2024-08-04,10:11,the railway station,286,2024-08-05,N
148,138,234,Arrest,2024-06-25,09:49,the village outskirts,284,2024-06-26,Y
149,139,235,Arrest,2023-09-22,06:07,the bus stand,930,2023-09-23,N
150,141,239,Arrest,2023-12-05,10:20,the vegetable market,927,2023-12-06,N
151,142,240,Arrest,2023-08-09,03:25,the highway toll gate,930,2023-08-10,Y
152,143,241,Arrest,2024-04-23,16:59,the highway toll gate,929,2024-04-24,Y
153,144,242,Arrest,2023-06-23,16:50,the village outskirts,929,2023-06-24,Y
154,146,244,Arrest,2024-09-11,20:54,the taluk border check post,924,2024-09-12,N
155,146,245,Arrest,2024-09-09,13:18,the vegetable market,923,2024-09-10,Y
156,147,246,Arrest,2024-10-18,18:55,a lodge in the town,1782,2024-10-19,N
157,149,251,Arrest,2024-02-06,18:48,the railway station,930,2024-02-07,N
158,149,252,Arrest,2024-02-22,02:32,the highway toll gate,931,2024-02-23,N
159,149,254,Arrest,2024-02-14,00:05,the highway toll gate,927,2024-02-15,N
160,149,255,Surrender,2024-02-22,04:09,his residence,930,2024-02-23,Y
161,150,256,Arrest,2024-12-03,07:03,the bus stand,930,2024-12-04,N
162,151,257,Arrest,2024-03-13,08:26,his residence,969,2024-03-14,N
163,156,263,Arrest,2026-05-13,21:59,the taluk border check post,1518,2026-05-14,Y
164,156,264,Arrest,2026-06-26,04:04,the bus stand,1519,2026-06-27,Y
165,159,268,Arrest,2025-05-20,16:44,a lodge in the town,1468,2025-05-21,Y
166,160,269,Arrest,2025-05-04,19:25,the highway toll gate,220,2025-05-05,N
167,161,270,Surrender,2025-12-05,22:46,his residence,1436,2025-12-06,N
168,161,271,Arrest,2025-11-28,18:21,the bus stand,1434,2025-11-29,Y
169,161,272,Arrest,2025-11-08,12:16,the vegetable market,1440,2025-11-09,N
170,162,273,Surrender,2026-04-18,09:30,the railway station,838,2026-04-19,N
171,162,274,Surrender,2026-04-19,11:38,the village outskirts,844,2026-04-20,N
172,162,275,Arrest,2026-04-22,03:15,the taluk border check post,835,2026-04-23,Y
173,163,277,Arrest,2025-02-25,00:59,his residence,1435,2025-02-26,N
174,165,279,Arrest,2025-08-27,03:08,his residence,896,2025-08-28,Y
175,165,280,Arrest,2025-08-08,18:48,the vegetable market,894,2025-08-09,N
176,167,283,Arrest,2026-05-18,11:36,his residence,837,2026-05-19,Y
177,167,284,Arrest,2026-05-16,10:56,the bus stand,844,2026-05-17,N
178,167,285,Arrest,2026-05-15,00:44,the village outskirts,835,2026-05-16,N
179,168,286,Arrest,2023-12-19,21:04,the bus stand,946,2023-12-20,N
180,170,288,Arrest,2025-11-18,02:25,a lodge in the town,946,2025-11-19,N
181,171,291,Arrest,2023-04-12,20:54,the village outskirts,947,2023-04-13,N
182,171,292,Surrender,2023-05-05,09:15,the vegetable market,941,2023-05-06,N
183,172,294,Arrest,2026-03-04,15:29,the railway station,844,2026-03-05,N
184,173,295,Surrender,2024-04-17,05:24,the railway station,946,2024-04-18,Y
185,174,296,Arrest,2026-03-21,22:52,the bus stand,2098,2026-03-22,Y
186,175,297,Arrest,2025-11-09,15:55,the bus stand,2131,2025-11-10,Y
187,176,298,Arrest,2026-05-28,12:07,the vegetable market,2131,2026-05-29,Y
188,177,299,Arrest,2023-08-26,18:20,the vegetable market,1923,2023-08-27,Y
189,178,300,Arrest,2025-01-30,12:22,a lodge in the town,843,2025-01-31,Y
190,178,301,Arrest,2025-02-21,10:54,the bus stand,841,2025-02-22,N
191,178,302,Arrest,2025-02-10,09:24,the village outskirts,835,2025-02-11,N
192,179,303,Arrest,2026-05-06,23:46,the taluk border check post,843,2026-05-07,Y
193,180,304,Surrender,2025-09-14,18:35,his residence,843,2025-09-15,N
194,181,305,Arrest,2024-11-13,09:38,the bus stand,534,2024-11-14,Y
195,181,306,Arrest,2024-11-28,15:03,the vegetable market,537,2024-11-29,N
196,183,308,Surrender,2025-01-16,13:21,a lodge in the town,253,2025-01-17,N
197,186,311,Arrest,2022-11-11,06:54,the vegetable market,1026,2022-11-12,N
198,189,315,Arrest,2023-04-11,14:56,the vegetable market,1026,2023-04-12,Y
199,191,317,Arrest,2024-05-04,23:02,the highway toll gate,534,2024-05-05,Y
200,191,318,Arrest,2024-04-13,01:29,the vegetable market,537,2024-04-14,N
201,193,320,Arrest,2024-02-28,17:58,the village outskirts,532,2024-02-29,Y
202,194,322,Arrest,2025-01-07,18:04,a lodge in the town,2261,2025-01-08,N
203,195,323,Arrest,2024-05-16,09:08,a lodge in the town,531,2024-05-17,Y
204,195,324,Arrest,2024-04-12,01:46,the railway station,531,2024-04-13,N
205,196,325,Arrest,2026-01-30,02:50,the railway station,2261,2026-01-31,Y
206,197,326,Arrest,2024-12-05,10:56,the village outskirts,2265,2024-12-06,Y
207,197,327,Surrender,2024-11-11,16:28,the bus stand,2266,2024-11-12,Y
208,197,328,Surrender,2024-11-23,15:04,a lodge in the town,2259,2024-11-24,Y
209,199,330,Arrest,2026-06-19,00:04,the highway toll gate,1062,2026-06-20,N
210,200,332,Arrest,2024-07-13,03:19,the bus stand,2260,2024-07-14,Y
211,201,335,Arrest,2025-10-01,09:22,the vegetable market,2259,2025-10-02,N
212,202,336,Arrest,2026-02-19,13:23,the highway toll gate,2267,2026-02-20,N
213,204,338,Arrest,2024-10-10,04:33,the highway toll gate,2262,2024-10-11,N
214,204,339,Arrest,2024-10-19,19:33,the railway station,2262,2024-10-20,Y
215,205,340,Arrest,2025-01-14,17:38,the vegetable market,2262,2025-01-15,N
216,206,341,Arrest,2025-01-22,15:31,the highway toll gate,857,2025-01-23,N
217,207,342,Surrender,2024-11-01,17:36,his residence,289,2024-11-02,Y
218,207,343,Surrender,2024-10-14,19:41,the village outskirts,288,2024-10-15,N
219,207,345,Surrender,2024-11-14,23:06,the vegetable market,295,2024-11-15,Y
220,208,346,Arrest,2024-11-28,04:23,the highway toll gate,289,2024-11-29,N
221,209,348,Surrender,2024-02-24,13:56,the railway station,293,2024-02-25,Y
222,210,349,Arrest,2024-04-07,05:22,his residence,294,2024-04-08,Y
223,211,352,Arrest,2023-11-26,15:02,a lodge in the town,1749,2023-11-27,Y
224,212,353,Arrest,2022-05-23,01:47,the railway station,321,2022-05-24,Y
225,213,354,Arrest,2023-02-27,06:49,the taluk border check post,455,2023-02-28,Y
226,215,356,Arrest,2023-09-08,08:13,the taluk border check post,455,2023-09-09,N
227,217,359,Arrest,2024-05-02,07:05,the railway station,531,2024-05-03,N
228,219,363,Surrender,2023-04-06,15:35,the highway toll gate,300,2023-04-07,N
229,220,364,Arrest,2024-08-07,08:06,the village outskirts,306,2024-08-08,N
230,221,365,Arrest,2023-07-03,09:11,a lodge in the town,303,2023-07-04,Y
231,222,366,Arrest,2025-05-06,13:19,the railway station,1166,2025-05-07,Y
232,222,367,Arrest,2025-05-15,02:27,the village outskirts,1171,2025-05-16,N
233,223,370,Arrest,2025-05-16,00:54,the village outskirts,2278,2025-05-17,Y
234,226,374,Arrest,2022-08-15,04:14,the village outskirts,1329,2022-08-16,Y
235,231,380,Arrest,2024-04-14,17:28,his residence,1545,2024-04-15,N
236,232,381,Arrest,2021-12-13,07:39,the railway station,122,2021-12-14,Y
237,234,383,Arrest,2025-05-19,04:20,the railway station,1009,2025-05-20,Y
238,235,384,Arrest,2025-03-28,04:13,the railway station,1779,2025-03-29,Y
239,236,385,Arrest,2026-03-08,13:06,the railway station,2240,2026-03-09,N
240,237,386,Surrender,2024-07-28,19:11,the railway station,535,2024-07-29,Y
241,237,387,Arrest,2024-07-04,19:31,a lodge in the town,533,2024-07-05,N
242,239,389,Arrest,2022-09-03,05:16,his residence,299,2022-09-04,Y
243,239,390,Arrest,2022-10-06,05:47,a lodge in the town,303,2022-10-07,Y
244,240,392,Arrest,2025-10-25,16:26,the village outskirts,531,2025-10-26,N
245,241,394,Arrest,2024-12-03,08:54,a lodge in the town,2120,2024-12-04,N
246,241,395,Surrender,2024-11-13,13:41,the village outskirts,2120,2024-11-14,Y
247,241,396,Arrest,2024-12-06,13:00,a lodge in the town,2122,2024-12-07,N
248,242,397,Arrest,2024-03-03,12:43,the vegetable market,859,2024-03-04,N
249,244,399,Arrest,2023-12-19,17:47,the railway station,299,2023-12-20,Y
250,245,400,Arrest,2023-08-22,10:14,his residence,299,2023-08-23,N
251,245,401,Arrest,2023-08-16,21:20,a lodge in the town,300,2023-08-17,N
252,246,402,Surrender,2026-01-14,00:37,the taluk border check post,1971,2026-01-15,Y
253,246,403,Arrest,2026-01-30,01:21,the railway station,1970,2026-01-31,Y
254,247,404,Arrest,2026-06-29,23:58,the vegetable market,1220,2026-06-30,N
255,248,405,Arrest,2026-01-08,19:00,the highway toll gate,1216,2026-01-09,Y
256,249,406,Arrest,2025-11-29,04:05,the vegetable market,1216,2025-11-30,N
257,250,408,Arrest,2022-12-11,15:55,his residence,690,2022-12-12,N
258,250,409,Surrender,2022-12-17,02:53,the highway toll gate,687,2022-12-18,Y
259,251,411,Arrest,2025-07-25,13:20,his residence,690,2025-07-26,N
260,251,412,Arrest,2025-08-01,10:36,the vegetable market,687,2025-08-02,Y
261,252,414,Surrender,2021-11-14,08:58,the village outskirts,690,2021-11-15,N
262,252,415,Arrest,2021-11-02,15:50,the vegetable market,687,2021-11-03,Y
263,254,419,Surrender,2022-01-15,21:12,the taluk border check post,2458,2022-01-16,Y
264,255,420,Arrest,2025-12-05,16:27,the highway toll gate,267,2025-12-06,Y
265,256,421,Surrender,2026-02-22,04:43,the railway station,204,2026-02-23,Y
266,256,422,Arrest,2026-03-05,18:31,the vegetable market,202,2026-03-06,Y
267,258,424,Arrest,2025-02-27,18:15,the vegetable market,201,2025-02-28,Y
268,258,425,Arrest,2025-03-26,00:28,the vegetable market,202,2025-03-27,Y
269,259,426,Arrest,2026-05-21,18:33,the vegetable market,201,2026-05-22,Y
270,260,427,Surrender,2024-11-01,13:46,the village outskirts,2067,2024-11-02,N
271,262,429,Arrest,2026-05-17,01:17,a lodge in the town,1962,2026-05-18,N
272,263,431,Arrest,2025-01-28,03:22,the village outskirts,1903,2025-01-29,Y
273,264,432,Arrest,2025-04-11,22:01,a lodge in the town,2066,2025-04-12,Y
274,266,434,Arrest,2024-10-29,06:32,a lodge in the town,2066,2024-10-30,Y
275,267,435,Arrest,2026-01-25,17:38,his residence,278,2026-01-26,N
276,267,436,Surrender,2026-01-22,17:45,a lodge in the town,277,2026-01-23,Y
277,268,438,Arrest,2025-09-13,17:21,the village outskirts,964,2025-09-14,N
278,269,439,Arrest,2025-04-30,13:56,the taluk border check post,278,2025-05-01,N
279,269,440,Surrender,2025-04-20,04:30,the bus stand,277,2025-04-21,Y
280,269,441,Arrest,2025-04-21,14:25,his residence,276,2025-04-22,N
281,272,444,Arrest,2022-08-16,20:41,the taluk border check post,672,2022-08-17,Y
282,272,445,Arrest,2022-07-28,07:13,the vegetable market,671,2022-07-29,Y
283,273,446,Arrest,2024-10-11,15:27,his residence,1936,2024-10-12,N
284,274,447,Arrest,2023-02-22,20:04,the village outskirts,1932,2023-02-23,Y
285,274,448,Arrest,2023-02-20,08:18,the village outskirts,1938,2023-02-21,Y
286,276,451,Arrest,2026-06-28,22:19,his residence,1754,2026-06-29,N
287,278,453,Arrest,2022-05-17,21:01,the vegetable market,678,2022-05-18,N
288,278,454,Arrest,2022-05-20,06:27,the vegetable market,671,2022-05-21,N
289,280,456,Arrest,2024-08-09,00:31,the highway toll gate,266,2024-08-10,Y
290,280,458,Arrest,2024-07-30,00:56,the village outskirts,272,2024-07-31,N
291,281,459,Arrest,2024-12-31,18:23,his residence,564,2025-01-01,N
292,282,460,Arrest,2022-05-07,19:16,a lodge in the town,1933,2022-05-08,Y
293,285,463,Arrest,2022-04-17,13:12,a lodge in the town,1933,2022-04-18,Y
294,286,464,Arrest,2022-01-24,04:59,the bus stand,496,2022-01-25,N
295,287,465,Arrest,2022-01-16,15:42,the highway toll gate,497,2022-01-17,N
296,287,466,Arrest,2022-01-06,12:15,a lodge in the town,501,2022-01-07,N
297,287,467,Arrest,2022-01-27,06:39,the railway station,502,2022-01-28,N
298,288,468,Arrest,2022-04-27,04:10,the village outskirts,678,2022-04-28,Y
299,288,469,Surrender,2022-05-16,07:09,a lodge in the town,672,2022-05-17,Y
300,288,470,Arrest,2022-05-13,07:59,his residence,675,2022-05-14,Y
301,289,471,Arrest,2022-10-09,19:57,the railway station,2371,2022-10-10,Y
302,289,473,Arrest,2022-09-23,16:28,the highway toll gate,2366,2022-09-24,N
303,291,476,Arrest,2022-03-23,14:58,the vegetable market,677,2022-03-24,N
304,292,477,Arrest,2022-07-11,11:03,a lodge in the town,677,2022-07-12,Y
305,292,478,Arrest,2022-06-17,20:30,the vegetable market,676,2022-06-18,Y
306,293,479,Arrest,2022-04-19,13:05,the railway station,677,2022-04-20,Y
307,295,482,Arrest,2022-07-08,16:40,the highway toll gate,677,2022-07-09,N
308,297,485,Arrest,2025-12-24,23:53,the railway station,1899,2025-12-25,Y
309,298,486,Arrest,2026-01-23,04:28,the highway toll gate,295,2026-01-24,N
310,299,488,Arrest,2026-04-07,10:49,the highway toll gate,290,2026-04-08,Y
311,300,490,Arrest,2025-06-01,22:49,the taluk border check post,295,2025-06-02,Y
312,303,494,Arrest,2026-07-12,08:29,the highway toll gate,485,2026-07-13,N
313,304,495,Arrest,2025-08-09,15:18,the bus stand,912,2025-08-10,N
314,304,496,Arrest,2025-08-14,02:38,a lodge in the town,917,2025-08-15,N
315,309,502,Arrest,2025-10-04,09:11,the village outskirts,36,2025-10-05,Y
316,311,504,Arrest,2025-04-02,15:22,a lodge in the town,617,2025-04-03,N
317,312,506,Arrest,2025-04-04,00:54,the highway toll gate,492,2025-04-05,Y
318,312,507,Arrest,2025-03-20,17:53,a lodge in the town,491,2025-03-21,Y
319,312,509,Arrest,2025-03-24,17:02,his residence,489,2025-03-25,N
320,313,510,Arrest,2025-08-27,05:28,a lodge in the town,1857,2025-08-28,N
321,313,511,Arrest,2025-08-24,23:05,a lodge in the town,1861,2025-08-25,Y
322,314,512,Arrest,2025-08-29,10:29,the highway toll gate,261,2025-08-30,N
323,314,514,Arrest,2025-08-23,13:05,his residence,264,2025-08-24,Y
324,315,517,Arrest,2026-04-02,09:29,the railway station,261,2026-04-03,Y
325,316,518,Arrest,2026-04-19,10:29,the taluk border check post,258,2026-04-20,Y
326,317,519,Arrest,2025-05-24,16:10,the vegetable market,918,2025-05-25,Y
327,317,520,Arrest,2025-05-26,12:37,the railway station,915,2025-05-27,N
328,317,521,Surrender,2025-06-18,13:52,the taluk border check post,918,2025-06-19,N
329,320,527,Arrest,2025-06-28,15:29,a lodge in the town,258,2025-06-29,Y
330,320,528,Arrest,2025-07-23,10:47,a lodge in the town,264,2025-07-24,Y
331,320,529,Arrest,2025-07-30,14:36,the bus stand,261,2025-07-31,Y
332,321,530,Arrest,2024-12-21,17:47,a lodge in the town,258,2024-12-22,Y
333,322,531,Arrest,2022-11-24,02:45,his residence,2049,2022-11-25,N
334,329,539,Arrest,2022-08-18,21:08,the taluk border check post,2049,2022-08-19,Y
335,329,540,Arrest,2022-07-28,10:19,the village outskirts,2051,2022-07-29,N
336,330,542,Arrest,2024-12-27,19:55,the highway toll gate,1468,2024-12-28,N
337,331,543,Surrender,2025-05-30,11:52,the village outskirts,1690,2025-05-31,Y
338,331,544,Surrender,2025-05-22,03:53,a lodge in the town,1691,2025-05-23,Y
339,332,545,Arrest,2024-07-26,22:07,the taluk border check post,1468,2024-07-27,Y
340,332,546,Arrest,2024-07-07,22:19,his residence,1467,2024-07-08,Y
